,f_1,f_2,R_x
4,15.618950198737434,470,4-7-16-6-5-21*4-20-23-14-11-17-22-18-0-28-25-7-2*3-23-20-7-10-15-21-6-13-18-0-26-8-19-12*17-28-7-4-1-9-3-23-24*0-18*24-20-14-11-17-12-19-22-25-7-4-3-9*19-18-13-6-2-27-7-20-23-9-1-3*18-22-17-19-8-12-0-25-7-20-24-14-11*6-15-2-21-10-29-27-16-28-17-19-12-8*4-14-9-1-3-11-17-22-0-13-6-5-15*27-10-15*24-4-1-3-23-14-7-27-2-29-15-10-16-28-0*
5,15.645984334814122,467,4-7-16-6-5-21*4-20-23-14-11-17-22-18-0-28-25-7-2*3-23-20-7-10-15-21-6-13-18-0-26-8-19-12*17-28-7-4-1-9-3-23-24*0-18*24-14-11-17-12-19-22-25-7-4-3-9*19-18-13-6-2-27-7-20-23-9-1-3*18-22-17-19-8-12-0-25-7-20-24-14-11*6-15-2-21-10-29-27-16-28-17-19-12-8*4-14-9-1-3-11-17-22-0-13-6-5-15*27-10-15*24-4-1-3-23-14-7-27-2-29-15-10-16-28-0*
6,15.65665185877952,466,4-7-16-6-5-21*4-20-23-14-11-17-22-18-0-28-25-7-2*3-23-20-7-10-15-21-6-13-18-0-26-8-19-12*17-28-7-4-1-9-3-23-24*0-18*24-14-11-17-12-19-22-25-7-4-3-9*19-18-13-6-2-27-7-20-23-9-1-3*18-22-17-19-8-12-0-25-7-20-24-14-11*6-15-2-21-10-29-27-16-28-17-19-12-8*4-14-9-1-3-11-17-22-0-13-6-5-15*27-15*24-4-1-3-23-14-7-27-2-29-15-10-16-28-0*
7,15.719750993687164,464,4-7-16-6-5-21*4-20-23-14-11-17-22-18-0-28-25-7-2*3-23-20-7-10-15-21-6-13-18-0-26-8-19-12*17-28-7-4-1-9-3-23-24*0-18*24-14-11-17-12-19-22-25-7-4-3-9*19-18-13-6-2-27-7-20-23-1-3*18-22-17-19-8-12-0-25-7-20-24-14-11*6-15-2-21-10-29-27-16-28-17-19-12-8*4-14-9-1-3-11-17-22-0-13-6-5-15*27-15*24-4-1-3-23-14-7-27-2-29-15-10-16-28-0*
8,15.72311199438859,461,4-7-16-6-5-21*4-20-23-14-11-17-22-18-0-28-25-7-2*3-23-20-7-10-15-21-6-13-18-0-26-8-19-12*17-28-7-4-1-3-23-24*0-18*24-14-11-17-12-19-22-25-7-4-3-9*19-18-13-6-2-27-7-20-23-1-3*18-22-17-19-8-12-0-25-7-20-24-14-11*6-15-2-21-10-29-27-16-28-17-19-12-8*4-14-9-1-3-11-17-22-0-13-6-5-15*27-15*24-4-1-3-23-14-7-27-2-29-15-10-16-28-0*
9,15.735416179565116,460,4-7-16-6-5-21*4-20-23-14-11-17-22-18-0-28-25-7-2*3-23-20-7-10-15-21-6-13-18-0-26-8-19-12*17-28-7-4-1-23-24*0-18*24-14-11-17-12-19-22-25-7-4-3-9*19-18-13-6-2-27-7-20-23-1-3*18-22-17-19-8-12-0-25-7-20-24-14-11*6-15-2-21-10-29-27-16-28-17-19-12-8*4-14-9-1-3-11-17-22-0-13-6-5-15*27-15*24-4-1-3-23-14-7-27-2-29-15-10-16-28-0*
10,15.73921557166238,457,4-7-16-6-5-21*4-20-23-14-11-17-22-18-0-28-25-7-2*3-23-20-7-10-15-21-6-13-18-0-26-8-19-12*17-28-7-4-23-24*0-18*24-14-11-17-12-19-22-25-7-4-3-9*19-18-13-6-2-27-7-20-23-1-3*18-22-17-19-8-12-0-25-7-20-24-14-11*6-15-2-21-10-29-27-16-28-17-19-12-8*4-14-9-1-3-11-17-22-0-13-6-5-15*27-15*24-4-1-3-23-14-7-27-2-29-15-10-16-28-0*
11,15.78624035538929,456,4-7-16-6-5-21*4-20-23-14-11-17-22-18-0-28-25-7-2*3-23-20-7-10-15-21-6-13-18-0-26-8-19-12*17-28-7-4-23-24*0-18*24-14-11-17-12-19-22-25-7-4-3-9*19-18-13-6-2-27-7-20-23-1-3*18-22-17-19-8-12-0-25-7-20-24-14-11*6-15-2-21-10-29-27-16-28-17-19-12-8*4-14-9-1-3-11-17-22-0-13-6-5-15*27-15*24-4-3-23-14-7-27-2-29-15-10-16-28-0*
14,15.806552490063128,450,4-7-16-6-5-21*4-24-20-23-14-11-17-22-18-0-28-25-7-2*3-23-20-7-10-15-21-6-13-18-0-26-8-19-12*22-17-28-7-4-24*0-18*24-14-11-17-12-19-22-25-7-4-3-9*19-18-13-6-2-27-7-20-23-1-3*18-22-17-19-8-12-0-25-7-20-24-14-11*6-15-2-21-10-29-27-16-28-17-19-12-8*4-14-9-1-3-11-17-22-0-13-6-5-15*27-15*24-4-3-23-14-7-27-2-29-15-10-16-28-0*
13,15.809708908113164,448,4-7-16-6-5-21*4-24-20-23-14-11-17-22-18-0-28-25-7-2*3-23-20-7-10-15-21-6-13-18-0-26-8-19-12*17-28-7-4-24*0-18*24-14-11-17-12-19-22-25-7-4-3-9*19-18-13-6-2-27-7-20-23-1-3*18-22-17-19-8-12-0-25-7-20-24-14-11*6-15-2-21-10-29-27-16-28-17-19-12-8*4-14-9-1-3-11-17-22-0-13-6-5-15*27-15*24-4-3-23-14-7-27-2-29-15-10-16-28-0*
12,15.814238952536824,447,4-7-16-6-5-21*4-20-23-14-11-17-22-18-0-28-25-7-2*3-23-20-7-10-15-21-6-13-18-0-26-8-19-12*17-28-7-4-24*0-18*24-14-11-17-12-19-22-25-7-4-3-9*19-18-13-6-2-27-7-20-23-1-3*18-22-17-19-8-12-0-25-7-20-24-14-11*6-15-2-21-10-29-27-16-28-17-19-12-8*4-14-9-1-3-11-17-22-0-13-6-5-15*27-15*24-4-3-23-14-7-27-2-29-15-10-16-28-0*
15,15.81774608370353,445,4-7-16-6-5-21*4-24-20-23-14-11-17-22-18-0-28-25-7-2*3-23-20-7-10-15-21-6-13-18-0-26-8-19-12*22-17-28-7-4-24*0-18*24-14-11-17-12-19-22-25-7-4-3-9*19-18-13-6-2-27-7-20-23-1-3*18-22-17-19-8-12-0-25-7-20-24-14*6-15-2-21-10-29-27-16-28-17-19-12-8*4-14-9-1-3-11-17-22-0-13-6-5-15*27-15*24-4-3-23-14-7-27-2-29-15-10-16-28-0*
16,15.868599485620765,442,4-7-16-6-5*4-24-20-23-14-11-17-22-18-0-28-25-7-2*3-23-20-7-10-15-21-6-13-18-0-26-8-19-12*22-17-28-7-4-24*0-18*24-14-11-17-12-19-22-25-7-4-3-9*19-18-13-6-2-27-7-20-23-1-3*18-22-17-19-8-12-0-25-7-20-24-14*6-15-2-21-10-29-27-16-28-17-19-12-8*4-14-9-1-3-11-17-22-0-13-6-5-15*27-15*24-4-3-23-14-7-27-2-29-15-10-16-28-0*
17,15.871755903670795,440,4-7-16-6-5*4-24-20-23-14-11-17-22-18-0-28-25-7-2*3-23-20-7-10-15-21-6-13-18-0-26-8-19-12*17-28-7-4-24*0-18*24-14-11-17-12-19-22-25-7-4-3-9*19-18-13-6-2-27-7-20-23-1-3*18-22-17-19-8-12-0-25-7-20-24-14*6-15-2-21-10-29-27-16-28-17-19-12-8*4-14-9-1-3-11-17-22-0-13-6-5-15*27-15*24-4-3-23-14-7-27-2-29-15-10-16-28-0*
41,15.892769464577976,437,3-9-23-20-7-25-0-18-12-8*4-24-3-11-17-19-8-26-0-13-6-5-15*28-16-10-15-5*23-20-14-24-7-2-29-27-16-28-25-0-18*12-18-19-0-25-22-17-11*20-4-3-1-23-14-7-27-10-21-5*27-15-6-16-7-4-24-1*4-23-20-7-27-15-29-2-10-6-13-18-22-12-8*4-1-9-14-11-17-22-0-18-13-6-21-15*22-19-17-12*26-8-19-17-28-7-24-23-1-9*10-16-28-0-12*
44,15.900339022679448,429,24-3-9-23-20-7-25-0-18-12-8*4-20-24-3-11-17-19-8-26-0-13-6-5-15*28-16-10-15-21-5*23-14-24-7-2-29-27-16-28-25-0-18-17*12-19-0-25-22-17-11*20-4-3-1-23-14-7-27-10-21-5*27-15-6-16-7-4-24*4-23-20-7-27-15-29-2-10-6-13-18-22-12-8*1-9-14-11-17-22-0-18-13-6-21-15*22-18-19-17-12*8-19-17-28-7-24-23-1-9*10-16-28-0-12*
45,15.905190554126724,423,24-3-9-23-20-7-25-0-18-12-8*4-20-24-3-11-17-19-8-26-0-13-6-5*28-16-10-15-21-5*23-14-24-7-2-29-27-16-28-25-0-18-17*12-19-0-25-22-17-11*20-4-3-1-23-14-7-27-10-21-5*27-15-6-16-7-4-24*4-23-20-7-27-15-29-2-10-6-13-18-22-12-8*1-9-14-11-17-22-0-18-13-6-21-15*22-18-19-17-12*8-19-17-28-7-24-23-1-9*10-16-28-0-12*
43,15.922024783726911,422,3-9-23-20-7-25-0-18-12-8*4-24-3-11-17-19-8-26-0-13-6-5-15*28-16-10-15-5*23-20-14-24-7-2-29-27-16-28-25-0-18-17*12-19-0-25-22-17-11*20-4-3-1-23-14-7-27-10-21-5*27-15-6-16-7-4-24*4-23-20-7-27-15-29-2-10-6-13-18-22-12-8*1-9-14-11-17-22-0-18-13-6-21-15*22-18-19-17-12*8-19-17-28-7-24-23-1-9*10-16-28-0-12*
21,16.00540682721534,374,7-27-2-15-6-21-10-16-28-0-26*23-3-4-24-7-16-6*24-1-23-14-11-17-22-18-0-25-28-7*20-24*0-18*3-24-14-11-17-12-8-19-22-25-7-4-20*18-13*19-12-0-25-7-20-24-1*5-6-15-10-7-14-9*14-9-1-3-11-17-22-0-13-6-5-21-15*19-22-17-28-16-27-29-2-7-20-14-23-3-1*17-19-0-26-8-12-18-13-6-10-27*
23,16.08016717325228,373,7-27-2-15-6-21-10-16-28-0*23-3-4-24-7-16-6*24-1-23-14-11-17-22-18-0-25-28-7-16*20-24*0-18*3-24-14-11-17-12-8-19-22-25-7-4-20*18-13*19-12-0-25-7-20-24-1*5-6-15-10-7-14-9*14-9-1-3-11-17-22-0-13-6-5-21-15*19-22-17-28-16-27-29-2-7-20-14-23-3-1*17-19-0-26-8-12-18-13-6-10-27*
22,16.08151157353285,369,7-27-2-15-6-21-10-16-28-0*23-3-4-24-7-16-6*24-1-23-14-11-17-22-18-0-25-28-7*20-24*0-18*3-24-14-11-17-12-8-19-22-25-7-4-20*18-13*19-12-0-25-7-20-24-1*5-6-15-10-7-14-9*14-9-1-3-11-17-22-0-13-6-5-21-15*19-22-17-28-16-27-29-2-7-20-14-23-3-1*17-19-0-26-8-12-18-13-6-10-27*
24,16.097235211596914,368,7-27-2-15-6-21-10-16-28-0*23-3-4-24-7-16-6*24-1-23-14-11-17-22-18-0-25-28-7-16*20-24*0-18*3-24-14-11-17-12-8-19-22-25-7-4-20*18-13*19-12-0-25-7-20-24-1*5-6-15-10-7-14-9*14-9-1-3-11-17-22-0-13-6-5-21*19-22-17-28-16-27-29-2-7-20-14-23-3-1*17-19-0-26-8-12-18-13-6-10-27*
25,16.111000701426235,363,7-27-2-15-6-21-10-16-28-0*23-3-4-24-7-16-6*24-1-23-14-11-17-22-18-0-25-28-7-16*20-24*0-18*24-14-11-17-12-8-19-22-25-7-4-20*18-13*19-12-0-25-7-20-24-1*5-6-15-10-7-14-9*14-9-1-3-11-17-22-0-13-6-5-21*19-22-17-28-16-27-29-2-7-20-14-23-3-1*17-19-0-26-8-12-18-13-6-10-27*
27,16.155658171615617,357,2-15-6-21-10-16-7-28-0-22*3-4-24-7-16-6-13-18-12-8-26-0*4-1-3-11-17-22-18-0-28-25-7-27*20-24*0-17*24-14-11-17-12-8-19-22-25-7-4-20-23-3*18-13*14-1-24-20-7-25-0-18*15-10-27-7-14-3-9*20-14-9-3-11-17-22-0-13-6-5-21-2*12-19-17-28-16-27-29-2-7-14-23-1-9*10-6*
28,16.195288753799392,355,2-15-6-21-10-16-7-28-0-22*3-4-24-7-16-6-13-18-12-8-26-0*4-1-3-11-17-22-18-0-28-25-7-27*20-24*0-17*24-14-11-17-12-8-19-22-25-7-4-20-23-3*18-13*14-1-24-20-7-25-0-18*15-10-27-7-14-3-9*20-14-9-3-11-17-22-0-13-6-5-21-2*12-19-17-28-16-27-29-2-7-14-23-1*10-6*
26,16.223024316109424,353,2-15-6-21-10-16-7-28-0*3-4-24-7-16-6-13-18-12-8-26-0*4-1-3-11-17-22-18-0-28-25-7*20-24-1*0-22-12*24-14-11-17-12-8-19-22-25-7-4-20-23-3*18-13*14-1-4-24-20-7-25-0-18*15-10-27-7-14-3-9*20-14-9-3-11-17-22-0-13-6-5-21*12-19-17-28-16-27-29-2-7-14-23-1-9*10-6*
29,16.22922024783727,337,29-2-15-6-21-10-16-7-25-28-0*9-3-1-4-24-7-16-6-13-18-12-8-26-0-22*1-3-11-17-22-18-0-28-7-27*24-14-4*0-17*14-11-17-12-19-22-25-7-4*18-13*3-1-24-20-7-25-0-18*5-15-10-27-7-14-9-3*4-20-14-9-3-11-17-22-0-13-6-5-21*12-19-17-28-16-27-29-2-7-14-23-1-9*10-6*
30,16.236205284077624,336,29-2-15-6-21-10-16-7-25-28-0*9-3-1-4-24-7-16-6-13-18-12-8-26-0-22*1-3-11-17-22-18-0-28-7-27*24-14-4*0-17*14-11-17-12-19-22-25-7-4*18-13*3-1-24-20-7-25-0-18*5-15-10-27-7-14-1-3*4-20-14-9-3-11-17-22-0-13-6-5-21*12-19-17-28-16-27-29-2-7-14-23-1-9*10-6*
