,f_1,f_2,R_x
0,23.84372615085896,1868.0,14-2-23-29-3-66-69-19-65-67-37-5-32-18-54-36-45-58-64-52-8-26-49-15-42-62-24-21-63-30*14-2-0-3-66-54-38-19-18-32-39-48-29-69-23-50-43-17-59-9-68-1-16-26-49-62-15-30-24-42*57-41-27-67-65-37-5-54-18-19-38-22-33-20-10-16-26-30-24-62-42-15-49-9-11-31-1-59-17-55*53-47-6-35-51-56-28-8-26-62-49-1-16-55-20-43-50-23-69-3-66-38-36-22-19-65-67-37-5-18*32-5-67-27-12-40-47-53-46-7-4-25-41-58-64-52-20-17-61-43-13-22-38-54-18-39-48-69-0-23*24-21-63-6-47-7-46-40-53-4-12-27-67-5-54-19-38-22-33-20-17-59-9-11-49-26-62-30-42-15*2-14-61-44-60-17-10-52-64-51-41-35-58-34-57-25-12-4-7-46-40-47-6-56-8-26-30-24-21-63*49-62-24-21-6-47-53-46-40-7-4-25-41-58-33-43-61-60-14-44-17-50-2-0-69-23-3-66-54-18*17-9-31-11-15-42-62-30-24-21-63-6-35-57-34-45-36-54-5-65-37-32-18-38-69-3-66-29-48-39*42-30-24-62-15-49-26-16-10-55-20-43-50-23-69-19-18-38-54-66-3-48-39-32-5-65-37-67-27-12*22-45-58-51-41-36-38-66-3-69-23-0-2-50-43-20-55-10-16-26-49-15-62-30-24-63-21-6-35-34*60-14-44-61-17-10-55-8-56-6-47-53-46-40-12-25-41-51-64-52-20-13-22-36-38-3-19-66-54-18*28-56-6-47-53-46-40-7-4-12-25-34-35-51-8-26-1-31-9-17-43-20-55-16-10-59-11-49-42-15*28-10-59-11-1-16-26-8-56-6-47-7-40-53-4-25-34-35-57-41-36-54-18-39-48-3-38-19-66-69*62-42-30-24-21-63-6-47-53-46-40-7-4-25-41-58-33-43-61-60-14-2-0-69-29-66-19-38-3-48*
1,29.626263517758037,534.0,27-41-34-58-64-52-20-17-61-60*46-40-53-47-6-56-28-8-10-59*32-39-18-54-36-45-58-51-35-6*23-2-0-69-3-66-19-38-22-33*29-48-66-19-36-45-34-35-51-8-26-62*4-25-12-41-45-22-13-50-2-14*7-4-12-25-41-34-57-35-6-47*50-43-20-55-10-16-26-30-24-21*63-21-24-30-26-16-10-17-61-60-44*5-18-54-36-45-58-64-52-10-16*68-9-11-31-1-26-8-51-41-45*49-26-16-10-55-20-33-22-19-66*37-65-5-54-19-22-33-43-61-60*22-33-20-55-10-16-26-49-15-42*12-25-27-41-36-54-18-5-37-67*
2,25.834422714505987,964.0,37-65-5-54-19-22-13-43-61-60-44-17-55*15-42-62-24-63-6-35-57-34-45-36-54-5-65-67-27-12-25-41*46-40-7-4-25-41-45-36-19-66-3-48-39-32-37*14-2-23-0-69-38-36-45-41-12-25-4-53-47-6*47-53-46-40-7-4-25-41-58-33-43-61-60-44*29-48-39-18-66-19-38-36-45-58-64-52-55-10-59-9-68-11-49*53-40-46-7-4-12-41-58-64-52-55-17-60-14-2-0-50*31-11-49-26-16-10-20-43-50-23-69-3-29-19*46-40-4-25-34-35-51-64-52-20-17-60-61-44-14*7-4-25-34-35-51-8-26-1-68-9-11-31*58-64-52-10-55-8-28-56-51-35-34-25-4-7-40-46*24-21-30-26-8-51-34-41-45-36-54-18-39*9-49-26-62-30-24-63-6-35-57-41-45-36-54-32-18-38-19-29-69*21-24-30-62-42-15-49-26-8-52-64-58-45-36-54-5-65-37-32-18-38-22-33-20-43-13*31-9-59-1-49-15-42-30-26-16-10-20-43-50-23-69-29-48-39-65-32-37-5-18*
3,27.566928152759104,641.0,37-65-54-38-22-33-20-17-9-68*42-49-26-16-10-55-20-33-22-19-66-48*57-35-6-21-24-30-26-16-10-55-20-17-61-60*5-54-36-45-34-35-51-8-26-62*29-23-50-43-20-55-10-16-26-49-42*32-39-18-54-36-45-58-64-52-10-16-1-31*2-50-33-58-34-41-12-4-7-40*9-68-1-26-8-56-51-41-27-67*3-29-69-23-50-43-17-10-16-26-62-15*7-47-6-56-8-55-10-17-61-44-14*13-50-0-23-69-38-36-41-25-4-7-46*11-1-26-8-56-6-47-53-7-40-46*9-68-59-10-28-8-56-6-47-53*63-24-30-26-16-10-20-43-50-23-69*28-8-56-6-35-34-25-12-4-40-7-47*
4,25.433014739093643,1016.0,9-68-11-15-49-62-21-24-30-26-16-10-55-17-61-60*30-63-21-24-42-15-49-26-8-52-64-58-45-36-54-65-37-32-39-48-69-23-0*54-19-66-29-3-0-23-50-43-17-55-10-16-26-30-24-62*5-65-32-39-18-19-66-69-23-0-2-50-43-20-55-10-16-1-26-30-42-24-62-15-49-11-9-68-59-17*54-66-3-29-23-69-38-36-45-41-12-25-4-53-40*14-44-61-17-10-16-26-30-24-21-63-6-35-34-57*17-61-44-60-14-2-50-13-33-22-45-41-25-4-7-40-46-53*43-17-20-52-64-58-34-25-4-7-46-40*19-66-18-65-37-5-54-36-45-41-34-51-8-26-49-11-1*55-20-10-16-26-8-51-34-45-36-54-18-39-32-37-5-65*53-47-7-4-25-34-35-6-56-28-8-52-64-51*9-31-1-26-8-51-35-41-36-54-5-37-65-18*36-45-34-35-57-41-27-67-65-19-38-22-33-20-17-59-9-68-1-16-26*12-40-46-53-47-6-35-34-45-36-38-19-66-69-48-29-3-0-2-50*23-3-29-69-0-2-50-43-20-55-10-8-56-6-47-40-7-46*
5,24.593909156512666,1189.0,5-54-32-39-48-66-38-19-29-3-69-23-50-43-20-10-16-26-49-15-11-1-31-9-68-59*30-42-24-62-15-49-26-8-56-51-35-34-41-27-67-5-37-32-39-48-29-3-0-2-14*53-46-40-7-4-25-57-51-64-52-20-17-60-44-14-61-43-13-50-33-58-35*55-8-10-16-1-49-11-68-9-59-17-20-33-22-38-19-18-39-48-3*23-0-50-43-17-10-55-16-26-30-24-62-15*39-48-69-19-36-41-25-4-40-46-7-53-47-6-63-30-26-16-10-55-52-64-51-58-33-13-43-17-20*21-24-42-15-49-1-26-8-51-41-45-36-54-18-39-32-37-5-65*29-48-66-38-36-45-34-51-8-26-49-15*52-55-10-59-68-9-11-31-1-16-26-8-56-6-47-7-40-46-53-4*39-65-37-5-18-54-36-45-34-51-8-26-1-31-11-68-9*59-1-26-16-10-55-20-33-22-38-66-69-0*32-54-38-66-19-29-23-50-2-14-44-61-17-10-28-8-56-6-47-53-4-12-25-41-45-36-22-13-43*9-68-11-15-62-24-63-6-35-58-45-36-38-19-66-29-3-69-48*24-21-62-30-26-8-51-35-34-41-45-36-54-65-5*62-24-21-6-63-30-42-15-49-26-8-51-35-34-41-27-67-37-32-39-65-5-18-19-66-54-38-36*
6,24.476718046693698,1630.0,15-42-62-21-6-47-53-46-40-7-4-25-12-41-45-22-13-50-2-14-60-17-9-11-31-1-59-10-16-55*47-6-21-63-24-62-30-15-42-49-26-8-51-35-34-45-36-54-18-65-67-27-12-4-7-53-46-40*12-25-41-27-67-65-18-39-32-37-5-54-19-22-33-20-17-59-9-68-11-1-26-16-55-10-28-8-52-64*62-42-49-1-26-8-51-57-25-12-4-53-47-6-35-34-45-36-38-66-3-69-48-29-23-0-2-50-43-17*63-30-21-24-62-49-1-26-8-56-6-47-7-4-40-46-53*31-11-68-59-9-1-16-26-8-28-56-6-47-53-4-40-7-46*47-6-63-24-21-30-62-42-15-49-26-8-51-35-41-45-36-38-69-0-23-50-43-13-33-22-19-66-29-48*60-44-14-61-17-20-55-10-16-26-30-63-24-62-49-1-59-9-31-11-68*18-69-0-50-43-17-59-68-11-15-42-30-63-24-21-62-49-9-31-1-26-8-51-34-25-4-7-40-46-53*67-65-39-48-3-23-29-66-69-0-2-14-44-61-17-10-55-8-56-6-47-53-46-7-40-4-12-25-41-57*14-2-0-23-50-43-13-22-45-41-34-25-4-53-46-40-7-47-6-56-8-26-1-9-68-59-17-55-10-16*51-64-35-41-34-45-58-57-25-12-4-53-47-6-63-24-30-26-1-9-68-11-59-10-20-52-55-8-28-56*36-45-58-64-52-10-16-1-31-11-9-59-17-20-33-22-38-54-32-37-65-5-67-18-66-3-29-69-23-50*23-3-66-29-69-48-39-32-18-54-19-38-22-13-43-61-60-14-2-50-0*33-22-13-50-43-17-20-52-64-58-57-35-34-51-56-6-47-7-40-53-46*
7,24.53229465727324,1418.0,60-61-43-50-2-0-3-66-38-36-45-34-57-35-6-63-30-26-1-49*15-42-24-30-62-26-49-11-31-9-68-59-17-50-23-69-3-48-39-18-54-36-45*34-57-35-6-47-53-40-46-7-4-25-41-45-36-38-66-48-29-69-23-50-2-0-3-19-65*42-24-30-21-62-15-49-26-16-10-17-43-50-23-69-18-32-5-37-65-67-27*62-24-63-6-47-7-40-4-25-12-27-41-34-58-64-52-20-17-61-60-44-14-2*26-16-1-49-11-68-9-17-20-33-22-38-19-54-36-45-58-34-35-57-51-56-28-8-55*13-20-55-17-9-1-26-8-28-56-6-47-7-40-46*35-57-34-58-64-51-56-8-52-20-55-10-17-44-60-61-43-33-22-38-54-5-37-67-65-18-32-39-48-29*21-63-6-47-53-46-40-7-4-12-25-41-34-58-33-50-2-14-61-17-59-1*67-5-65-32-39-18-69-29-3-23-2-50-43-17-10-16-26-30-24-21-62-15-42-49-11-59-68-1-31*46-40-7-53-4-12-41-58-64-52-20-17-61-44-60-14-2-23-29-69-3-0-50-33-43-13-22*66-19-65-67-37-5-54-38-36-45-34-35-6-63-24-62-42-30-15*37-65-39-18-32-54-19-66-48-3-29-69-23-2-50-43-20-10-16-1-26-30-24-62-49-15-42*8-56-6-47-53-46-40-7-4-25-27-67-5-37-65-19-38-69-29-3-23-50-43*63-30-24-42-15-49-26-8-51-41-45-36-54-65-39-48-3-23-29*
8,24.56564062362097,1394.0,54-36-38-19-66-18-5-67-65-37-32-39-48-3-0-69-23-2-50-43-61-44-60-14*39-65-5-54-36-45-34-35-51-56-8-26-49-1-16-9*38-19-66-29-69-23-50-43-17-10-16-26-62-30-63-21*33-43-13-22-19-66-48-39-32-5-54-36-45-34-57-35-6-63-21-62-24-30-26-49-1-59*59-1-16-10-52-64-58-45-36-54-65-18*28-56-6-63-21-24-62-42-15-49-26-8-51-35-34-41-36-54-18-39-48-69-3-29-23-0-2-50-13*55-8-26-1-59-11-49-62-42-24-21-63-6-35-34-45-36-54-5-37-67-27-41-58-51-57*42-15-49-11-31-1-26-16-10-55-17-50-0-69-38-36-45-41-25-4-40-46-7-53-47-6*2-14-61-17-20-13-22-38-66-3-69-23-50-0*46-53-4-25-27-12-40-7-47-6-56-8-10-17-61-44-60-14-2-0-50-43-33-22-38-18*10-55-20-33-13-43-50-17-59-68-11-1-26-8-56-6-47-53-7-40-4-12-41-25-34-57-35-51-64*42-30-24-62-15-11-9-68-1-16-55-8-56-28-10-20-52-64-51-35-57-25-4-40-46-53-7-47-6*42-30-24-21-6-56-8-10-59-68-1-31-11-9-17-20-33-22-38-19-54-32-37-67-65-5-18-39*36-38-69-3-23-2-50-33-22-45-41-25-4-7-40*23-2-50-0-69-48-39-18-65-19-29-3-66-38-36-41-12-4-7-40-46-53-47*
9,25.151980354797345,1105.0,25-27-41-34-58-64-52-20-17-61-44*29-48-3-66-38-36-45-58-35-6-63-24-62-15-49-9-68*18-39-48-29-3-66-19-36-45-34-35-6-63-30-24*67-27-41-34-51-56-8-26-1-68-9*9-1-49-26-30-63-24-62-21-6-35-57-34-41-45-36-54-32-65-37-5-18-66-48-29-69-38*49-9-68-1-26-8-52-64-58-45-36-54-18-67-37-5-65*59-68-9-31-1-16-10-28-8-56-6-47-53-40-46*49-62-26-8-51-34-41-45-36-54-18-32-39*44-60-17-61-14-2-50-43-20-55-10-16-26-49-15-30*60-14-2-23-50-43-20-55-16-26-49-15-42-62-30-21-63*10-17-60-61-43-13-50-2-0-23-69-38-36-41-25-4-7-46-40-53*10-59-11-9-31-1-49-42-15-62-24-63-6-47-53-46-40-7-4-25-34-51-64-52-20-17-61-14-60-44*65-39-48-3-38-66-54-36-19-29-23-2-50-13-22-45-41-25-12-4-7-53-47-40-46*34-58-64-52-20-43-61-60-44-14-2-0-50-17-55-10-16-26-30-24-21-63-6-35-51*16-26-1-68-11-9-59-17-20-33-22-19-54-5-37-65-18-38-69*
