,Unnamed: 0,Generation,Intertwine_two,Add_vertex,Delete_vertex,Invert_path_vertices,Insert_inside_vertex,Delete_inside_vertex,Replace_inside_vertex,Donate_between_routes,Merge_terminals,Trim_one_terminal_cb,Trim_one_path_random_cb,Grow_one_terminal_cb,Grow_one_path_random_cb
0,0.0,0.0,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689,0.07692307692307689
1,1.0,1.0,0.08856147641662004,0.07803006161001821,0.07869136537601021,0.0845963024919095,0.08305915708304841,0.07576268871590139,0.07185787799154836,0.07183744363143815,0.06414657857241522,0.0779136154995935,0.07316184339997785,0.0823536766744978,0.0700279125370207
2,2.0,2.0,0.08176333016779991,0.0758048804057156,0.0791192795802771,0.07664223785227345,0.08285383985029851,0.07738629773111552,0.07510302549158879,0.06589643709547757,0.06477675592467211,0.08771626074212188,0.07415575691566703,0.08622717097752954,0.07255472726546257
3,3.0,3.0,0.08342313811907875,0.07739255002343602,0.07865717157671179,0.07786210452185852,0.07491691447647869,0.07939625754745415,0.07537497159867078,0.07194015232095853,0.06819357157739978,0.08498587410873001,0.073799408403321,0.08406345251152522,0.06999443321437629
4,4.0,4.0,0.08445042130963157,0.07674921946703206,0.07476193923584691,0.08744579550509653,0.07769568080114223,0.07354951474083363,0.0736937472068868,0.07467879214644553,0.06260133338789853,0.08091756529349363,0.07715134100629355,0.08351510361076452,0.07278954628863399
5,5.0,5.0,0.08514864852849809,0.08009885358602972,0.07884967398365308,0.08064066967087194,0.07902581562749014,0.07764256218111013,0.06852414343646969,0.07076534810865623,0.06392354482430537,0.08914343435195314,0.07242213458203496,0.08297750198679825,0.07083766913212874
6,6.0,6.0,0.08345023187881842,0.08290403405658495,0.07507081623937119,0.07839757956163829,0.0765468884302919,0.07682569176545374,0.07114179980367723,0.07331229621207044,0.0633932249694606,0.08398710526014246,0.07513365510584476,0.08860247184467668,0.07123420487196888
7,7.0,7.0,0.08702964242561531,0.07792459184915394,0.07779192379128388,0.08079961970719388,0.07110881771700803,0.07609943559518542,0.06982509044398276,0.07316469687710588,0.06556247301104826,0.0893696994083106,0.0699250276898403,0.08515529613729492,0.07624368534697634
8,8.0,8.0,0.08508452721353146,0.07884310222520038,0.07452484226756098,0.08035729716523823,0.07731625251832691,0.0801247224472209,0.07588078983945934,0.0719462064659141,0.06612064474463382,0.08777138097193316,0.07200214206350734,0.08064976242925166,0.06937832964822127
9,9.0,9.0,0.08550808656151096,0.07668105024192348,0.08008120219776815,0.08228380389809904,0.07649999319298066,0.07808819596492758,0.06982405622348693,0.0715681026419495,0.06448325585350728,0.09087167370622343,0.07254630279175402,0.08456828102353528,0.06699599570233322
10,10.0,10.0,0.08216425502269933,0.07481744165221953,0.08010444268459727,0.07596050415757243,0.07735832861652002,0.08434119927478892,0.07495661778136353,0.06824940180320321,0.06494361490546428,0.09208370429990953,0.07582673976154987,0.07927037220395014,0.06992337783616139
11,11.0,11.0,0.08123052997787732,0.07784646020258959,0.07847968414088077,0.08864754383968412,0.07513179345757771,0.08534415041948264,0.07019175462260205,0.06958290762717656,0.060044895153378394,0.08566177309019989,0.07224770354710738,0.08627942654012863,0.06931137738131449
12,12.0,12.0,0.07858882563257204,0.07924132311987112,0.08458902156185534,0.0832311235403019,0.06943240177724405,0.08104614026580506,0.07236253234731163,0.06384838150926324,0.06914872972269077,0.0894287011404,0.07188243078115605,0.08984460537352348,0.06735578322800483
13,13.0,13.0,0.0802681851812633,0.08149674223808137,0.08220447666697965,0.07748724796135582,0.06898749765859477,0.08434330624576045,0.07285213346693105,0.0659229413243558,0.06065510575653096,0.08916605934622042,0.07321008519748246,0.09131322727154156,0.07209299168490194
14,14.0,14.0,0.07579645584917924,0.08032605843691376,0.07977696902277868,0.08379511846173975,0.07139543425010998,0.08373783015848944,0.0717638211563834,0.0686545832493751,0.06864828624933869,0.08409329434164112,0.07143052701600558,0.0826920192829161,0.07788960252512872
15,15.0,15.0,0.07363485075008203,0.07324434288256479,0.08155128109585354,0.0779259312182415,0.08148248651890021,0.08552265216152999,0.07141287540714072,0.06265377750250958,0.06081925793747657,0.09220194924123513,0.07443317855615014,0.08824598542005238,0.07687143130826289
