,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.8271818221864475,251,19,24435
1,Run_2,0.7987914028617081,248,28,21826
2,Run_3,0.798660051018978,250,18,27162
3,Run_4,0.8200343597198363,238,29,19278
4,Run_5,0.8118344806596425,247,19,24614
5,Run_6,0.8199030078771057,258,20,21629
6,Run_7,0.8195898458618164,253,19,23832
7,Run_8,0.8110271473823739,253,20,25243
8,Run_9,0.8066092402817657,269,35,24128
9,Run_10,0.8003155647929006,258,21,31998
10,Run_11,0.8074606244819011,273,14,31165
11,Run_12,0.802967430349484,245,22,25960
12,Run_13,0.8334618819355176,262,19,28042
13,Run_14,0.82807805823532,263,32,24664
14,Run_15,0.8122349435947955,255,18,25414
15,Run_16,0.8137935453384113,261,22,27064
16,Run_17,0.8214159568461141,272,21,28516
17,Run_18,0.8094805595268129,231,12,18705
18,Run_19,0.8020759998558334,252,27,21374
19,Run_20,0.8052292450072284,271,0,31400
20,Run_21,0.8238956233405816,248,19,23274
21,Run_22,0.8147186147186147,258,24,24553
22,Run_23,0.8136926286787527,253,3,26500
23,Run_24,0.8112137631101555,263,18,31671
24,Run_25,0.8127259111532933,251,19,23518
25,Run_26,0.811652670487083,240,24,19472
26,Run_27,0.8145664388032566,274,12,32320
27,Run_28,0.8084521707093402,300,55,21331
28,Run_29,0.817047707149465,266,20,31454
29,Run_30,0.8109070085018282,396,163,21589
