Total_iterations,Unnamed: 0.1,Intertwine_two,Invert_path_vertices,Insert_inside_vertex,Delete_inside_vertex,Replace_inside_vertex,Donate_between_routes,MSC_add_terminal,MSC_del_terminal
91,91.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
92,92.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
93,93.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
94,94.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
95,95.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
96,96.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
97,97.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
98,98.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
99,99.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
100,100.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
101,101.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
102,102.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
103,103.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
104,104.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
105,105.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
106,106.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
107,107.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
108,108.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
109,109.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
110,110.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
111,111.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
112,112.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
113,113.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
114,114.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
115,115.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
116,116.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
117,117.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
118,118.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
119,119.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
120,120.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
121,121.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
122,122.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
123,123.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
124,124.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
125,125.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
126,126.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
127,127.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
128,128.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
129,129.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
130,130.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
131,131.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
132,132.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
133,133.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
134,134.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
135,135.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
136,136.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
137,137.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
138,138.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
139,139.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
140,140.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
141,141.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
142,142.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
143,143.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
144,144.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
145,145.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
146,146.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
147,147.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
148,148.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
149,149.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
150,150.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
151,151.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
152,152.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
153,153.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
154,154.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
155,155.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
156,156.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
157,157.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
158,158.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
159,159.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
160,160.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
161,161.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
162,162.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
163,163.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
164,164.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
165,165.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
166,166.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
167,167.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
168,168.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
169,169.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
170,170.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
171,171.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
172,172.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
173,173.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
174,174.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
175,175.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
176,176.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
177,177.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
178,178.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
179,179.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
180,180.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
181,181.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
182,182.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
183,183.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
184,184.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
185,185.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
186,186.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
187,187.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
188,188.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
189,189.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
190,190.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
191,191.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
192,192.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
193,193.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
194,194.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
195,195.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
196,196.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
197,197.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
198,198.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
199,199.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
200,200.0,0.1247222222222222,0.1258333333333333,0.1247222222222222,0.1247222222222222,0.1258333333333333,0.1247222222222222,0.1247222222222222,0.1247222222222222
201,201.0,0.1243361111111111,0.1274361111111111,0.1243361111111111,0.1243361111111111,0.1265472222222222,0.1243361111111111,0.1243361111111111,0.1243361111111111
202,202.0,0.123615452020202,0.1284926338383838,0.123615452020202,0.1245245429292929,0.126794452020202,0.1247265631313131,0.124615452020202,0.123615452020202
203,203.0,0.1227966134090909,0.1294063052272727,0.1227966134090909,0.1246057043181818,0.1279149234090909,0.1248966134090909,0.1247866134090909,0.1227966134090909
204,204.0,0.121906692525,0.1301913646068181,0.121906692525,0.125507692525,0.1288282893340909,0.124975692525,0.1247768834340909,0.121906692525
205,205.0,0.1209046260969974,0.1319068629881994,0.1209046260969974,0.1262641524606338,0.1295708741570883,0.1249150360969975,0.1246291960060883,0.1209046260969974
206,206.0,0.1197497806568858,0.1341181065379243,0.1197497806568858,0.1267444460902191,0.1300904614531849,0.1246673555568858,0.1242969550577949,0.1205831139902191
207,207.0,0.1184973042385987,0.1359898884901412,0.1184973042385987,0.1269280304647083,0.1303567192046738,0.1242821517995988,0.1245878357866199,0.1208607657770603
208,208.0,0.1172824722320727,0.1377658093283994,0.1172824722320727,0.1270816023196762,0.1305734871346186,0.1238900167123627,0.1248677865636812,0.1212563534771163
209,209.0,0.116070321399396,0.1392844587290214,0.116070321399396,0.1278226207310651,0.1307001994290736,0.1234522176622441,0.1242584204262505,0.1223414402235529
210,210.0,0.1149856477444532,0.1406729829583702,0.1149856477444532,0.1296203398945281,0.1298575371415859,0.1220906416489751,0.1237177053400938,0.1240694975275401
211,211.0,0.1138166296510997,0.1417229696087399,0.1138166296510997,0.1320324617495723,0.1294659437183039,0.1206013614940828,0.1230342627160246,0.1255097414110766
212,212.0,0.112004982653201,0.1419543634806157,0.1128383159865343,0.134397288444853,0.1275099857827975,0.1184336313223693,0.1266507906431659,0.1262106416864629
213,213.0,0.1102774042930087,0.1420910280949464,0.111935737626342,0.1366856739566662,0.1255599775474624,0.1163212916190521,0.1302454449689434,0.1268834418935784
214,214.0,0.1085786609262516,0.1420769671672406,0.1109821416954824,0.1395234041892663,0.1235707215605322,0.1148408241702222,0.1330312613820305,0.1273960189089739
215,215.0,0.1074770743282363,0.1418933764078438,0.1099608957099429,0.142048644420608,0.1215320177039007,0.1133105642659016,0.1353351423680011,0.1284422847955653
216,216.0,0.1069196487389199,0.1415612847060829,0.1088930486354418,0.1442732942507303,0.1194714378016678,0.1117534422459781,0.1378558403038929,0.1292720033172859
217,217.0,0.1063417987431703,0.1410537077383504,0.1083749741929498,0.1459351191117008,0.1173666199225547,0.1101719719720561,0.1400667173429589,0.1306890909762588
218,218.0,0.1058570270997701,0.1404989516191027,0.1079375576818725,0.1474590105245523,0.1153487178612225,0.1086900847904563,0.1421573286226726,0.1320513218003506
219,219.0,0.105257882236927,0.1404735211409232,0.1084852271322989,0.1484482237746691,0.1132262276035149,0.1071096498107712,0.1439158031531807,0.1330834651477147
220,220.0,0.1046200957335165,0.1402357881055369,0.1082778556174328,0.1498104981599871,0.1110891356799494,0.1055146289709088,0.1458327393390682,0.1346192583936002
221,221.0,0.1039765744537942,0.1398338564360146,0.1079990191174503,0.1519659213066494,0.1089829380115122,0.1039450959004504,0.1474791198214364,0.1358174749526925
222,222.0,0.1033779195251633,0.1393746148922971,0.1077029802269552,0.1544190862919289,0.1069691995863496,0.1024577895901349,0.148909864096906,0.1367885457902648
223,223.0,0.1028587190970952,0.1389014751125352,0.107460596044492,0.1567186284585818,0.10509190009968,0.1010924486623454,0.1501984048140004,0.1376778277112698
224,224.0,0.1024162197238143,0.138420558318131,0.1072689249410822,0.1588569146668041,0.1033561686525206,0.099850529988107,0.1513460769213862,0.1384846067881543
225,225.0,0.1020055096269079,0.1388541180451594,0.1060831456531877,0.1605786876503568,0.1017235390887256,0.0986904438621406,0.1523138238922937,0.1397507321812282
226,226.0,0.1015772976814621,0.139252131278125,0.1043345517319366,0.1626923765299069,0.1002082877495144,0.0975946283587146,0.1534398584314804,0.1409008682388598
227,227.0,0.1011049364532231,0.1395120483510979,0.1025936426060208,0.1644121626309809,0.0987811495872587,0.0965349348320474,0.1546317319596023,0.1424293935797687
228,228.0,0.1005605958356448,0.1396416219227242,0.101366656656098,0.1661287921077,0.097410866645344,0.0954815046859048,0.1558357742666824,0.1435741878799016
229,229.0,0.0998068612030964,0.1396124754967372,0.1001652654042922,0.1684392090075081,0.0961299344219056,0.0950457082014304,0.1563281160466591,0.1444724302183708
230,230.0,0.0991068927376801,0.139559284438436,0.0990356170127694,0.1705569180512015,0.09497892088679,0.0947068336967617,0.1566894952653608,0.1453660379110005
231,231.0,0.0984728324414182,0.1394976078425325,0.0979944564003141,0.1719381319927048,0.0939689670274136,0.0944712004398624,0.156937809533993,0.1467189943217612
232,232.0,0.097872174773985,0.1395018652503072,0.0965280653225875,0.1738434374020234,0.0931071011317133,0.0942909905677147,0.1568046963704151,0.1480516691812537
233,233.0,0.0972183317773223,0.1383883237754617,0.0950786253283094,0.1762262015510187,0.0922984434431677,0.0945082745037805,0.1562829472222656,0.1499988523986739
234,234.0,0.0963677376859514,0.1359998134289102,0.0937286784183572,0.1791698552842092,0.0916571690938927,0.0947409977532547,0.1557800863444547,0.1525556619909697
235,235.0,0.0955259900503064,0.1326749325905562,0.0924530820517563,0.1810377031969772,0.091065093125146,0.0949556553627626,0.1554791987429741,0.1568083448795209
236,236.0,0.0945818221784658,0.1296903146241255,0.0911126576629104,0.1831409479107389,0.0903794522777527,0.0950371255189093,0.1549514032497373,0.1611062765773599
237,237.0,0.0939249103086487,0.1273894775856769,0.0896639515004805,0.1845697752264614,0.0895535271473312,0.0954897976428088,0.1544704187204913,0.164938141868101
238,238.0,0.0932712626174895,0.1255842583834554,0.0881517478094136,0.185784143676622,0.0887379420702511,0.0958705873896628,0.1538863567440858,0.1687137013090196
239,239.0,0.0925704274923722,0.1236007209393035,0.086638682794779,0.1873133188332386,0.0878831572202873,0.096125828812661,0.1530829464375818,0.1727849174697762
240,240.0,0.0918179242624913,0.1220890937595202,0.0851237654736273,0.1889449474950176,0.086985307344492,0.0962487923908243,0.1520780282256808,0.1767121410483464
241,241.0,0.0911562785439338,0.1206865383282678,0.083735497356467,0.1906260397831792,0.0861922731222804,0.0960023316171881,0.1513059948287124,0.1802950464199711
242,242.0,0.0904795162367146,0.1192876924925447,0.0824032580646986,0.1928915674827333,0.0854080201694991,0.0956602931979541,0.149866875857217,0.1840027764986383
243,243.0,0.0898363557214045,0.1179419719559489,0.0811602062073333,0.1955073192409034,0.0846646696609962,0.0952868957979799,0.1484095178493027,0.1871930635661309
244,244.0,0.0899066110291865,0.1164543738892644,0.0799723104504395,0.1980226400441187,0.083945808309629,0.0948692527415393,0.1469127751796255,0.189916228356197
245,245.0,0.089941509746566,0.1145275791370254,0.0788596820539075,0.2005781389776309,0.083269923725566,0.0944420282081479,0.145409301653427,0.192971836497729
246,246.0,0.0896046975405761,0.1126804794229629,0.0778435224179761,0.203238084810353,0.082638962988198,0.0940032061530035,0.1445395498010739,0.1954514968658562
247,247.0,0.08927617889298,0.1109268510315757,0.0769038115303108,0.206100072860018,0.082433846268755,0.0935053603216607,0.1434318816696427,0.1974219974250568
248,248.0,0.0889572325430592,0.1095962866683164,0.0760411245336065,0.2084195622736293,0.0822370940105145,0.0929570173673427,0.1424988346308468,0.1992928479726843
249,249.0,0.0879013946655267,0.1084541002676742,0.075341023183049,0.2108113585592454,0.0821336768434557,0.092462227404762,0.1418209029241138,0.2010753161521729
250,250.0,0.0867858441262297,0.1076683195469756,0.0746371812618397,0.2136270123927793,0.0819574127636277,0.091540119722706,0.1408568975436066,0.2029272126422353
251,251.0,0.0856845773426645,0.1069233858857718,0.0739938808921829,0.2157370346113254,0.0817733977309701,0.0905890183784525,0.14003937398008,0.2052593311785526
252,252.0,0.0849496386336262,0.1065547029407716,0.073420627615819,0.2176681273244634,0.0815925526662294,0.0896296394268006,0.1390525130742665,0.207132198318023
253,253.0,0.0841782432535953,0.1061978017083879,0.072965999176751,0.2193763617630935,0.081479819809218,0.0886234956534016,0.1378111850596881,0.2093670935758643
254,254.0,0.0833808539015331,0.1058187167552635,0.0725107663325484,0.2212989177603037,0.0813139014902861,0.0875708347962229,0.1365545269184721,0.21155148204537
255,255.0,0.0825775538039897,0.1054472868376373,0.0720690517879932,0.2232829009122205,0.0809985287077551,0.086495947991716,0.1353061481805209,0.2138225817781671
256,256.0,0.0817700749853602,0.1050629014514854,0.0716370288074379,0.2251494087080946,0.0806456422514888,0.0854045247228318,0.1340708126417591,0.2162596064315419
257,257.0,0.0809828749009486,0.104700170649419,0.0712340132592969,0.226897956633328,0.0799531752054733,0.0843331190540801,0.1332088674659978,0.218689822831456
258,258.0,0.0802871067910847,0.1045642518383589,0.070821091487976,0.2282432963913567,0.079213563869965,0.0835538248099456,0.1327404779775118,0.2205763868338009
259,259.0,0.0799073862767779,0.10440080470492,0.0704225820787008,0.2296016060580681,0.0784656805576726,0.0827711791091997,0.1326314796275953,0.2217992815870652
260,260.0,0.0798189465170034,0.104092066747122,0.0700321561130113,0.2305943939648398,0.077812133126224,0.0825020558270507,0.1323015375319183,0.2228467101728301
261,261.0,0.0797716428814126,0.1037962346366379,0.0696866903718945,0.2315337078075083,0.0771834396771732,0.0825377293085405,0.1320243897488317,0.2234661655680007
262,262.0,0.0797669019055892,0.103536657913102,0.0693902106019505,0.2321540311728497,0.0765881132396405,0.082497373780659,0.1318025954365533,0.2242641159496553
263,263.0,0.0797637470518102,0.1032724223572755,0.0691003523185938,0.2330762420438097,0.0759867721901144,0.082422786343939,0.1315446589318941,0.2248330187625629
264,264.0,0.0802755640431328,0.1012961077478291,0.0690901538304471,0.2335442563290448,0.0757650959883775,0.0826120519931003,0.1315753263411086,0.2258414437269595
265,265.0,0.0807957966072619,0.0993295612658705,0.0690997107676542,0.2339680419193504,0.0755558775903263,0.0828042984200979,0.131633765257536,0.2268129481719024
266,266.0,0.0817690873929636,0.0973641773737232,0.0691011720450387,0.2340785794073628,0.0753336800110749,0.0829471775816133,0.1316435831587584,0.2277625430294646
267,267.0,0.0817792193583162,0.0954158798471957,0.0690931907388147,0.2348071116896546,0.0754372113309844,0.0830413167522184,0.1316073304223823,0.2288187398604335
268,268.0,0.0817436941482517,0.0935041341895633,0.0690799125536966,0.235674616028056,0.075535655405056,0.0830982662533921,0.1315328882300131,0.2298308331919709
269,269.0,0.0816740812208395,0.0916518772265833,0.0690719383549321,0.236370996769242,0.0754088772994206,0.0833469035707223,0.1318468188813981,0.2306285066768617
270,270.0,0.0816012376056498,0.0898806944954836,0.0690792652666087,0.2373920055300293,0.0761000559495842,0.0835864852240912,0.1321752022620355,0.2301850536665174
271,271.0,0.0814162749892754,0.0881055212349249,0.0690070167568953,0.2384350952735837,0.0774600610471741,0.0837047478872045,0.1323700361135235,0.2295012466974183
272,272.0,0.0813072605296368,0.0864228779717772,0.0688309297667175,0.2395521397560622,0.0787975298316812,0.0837911730575038,0.1325127967844644,0.2287852923021565
273,273.0,0.081177027126256,0.0848563130065616,0.0686603854450217,0.2404391314896614,0.0801045501567525,0.0838508902823524,0.1326095538360051,0.228302148657389
274,274.0,0.0810543702212795,0.083109934860055,0.0685090856690946,0.2415471172861896,0.0813833775540963,0.0839110745858829,0.1327149522989497,0.2277700875244522
275,275.0,0.0809845472435607,0.0815542029540428,0.0684346350049901,0.2435862887736958,0.0810151300597388,0.0840071001864972,0.1328454075307174,0.2275726882467569
276,276.0,0.0808890273657117,0.0800985218537465,0.068356557892759,0.2453635670679397,0.0805944073803446,0.084259711727919,0.1332671702058134,0.2271710365057657
277,277.0,0.0807736774896316,0.0787530822641894,0.068278750270475,0.2467848352150197,0.0801331686841106,0.0844801653532967,0.1336265738677393,0.2271697468555374
278,278.0,0.0806602687719023,0.077644974621378,0.0681168391172833,0.2478911895733331,0.0795613614204701,0.0848126626058969,0.1338328558545964,0.2274798480351397
279,279.0,0.0806217629252967,0.0766271782483821,0.0679417657071491,0.249114192791441,0.0789470940412373,0.0850778370873998,0.1339679079251789,0.2277022612739148
