,R_x,f_1,f_2,Generation,Rank
0,4-1-2-5-14-6*0-1-4-3-5-7-9-10-12-13*6-9-10-11-3-5-7-14-8*11-10-12-13-9-6-14-8*0-1-2-5-7-9-10-12-13*0-1-3-5-7-14-6*,10.20696324951644,206.0,165,0.0
1,4-1-2-5-14-6*0-1-4-3-5-7-9-10-12*6-9-10-11-3-5-7-14-8*11-10-12-13-9-6-14-8*0-1-2-5-7-9-10-12-13*0-1-3-5-7-14-6*,10.207607994842038,204.0,162,0.0
2,4-1-2-5-14-6*0-1-4-3-5-7-9-10*6-9-10-11-3-5-7-14-8*11-10-12-13-9-6-14-8*0-1-2-5-7-9-10-12-13*0-1-3-5-7-14-6*,10.217279174725984,199.0,136,0.0
3,4-1-2-5-14-6*0-1-4-3-5-7-9-10*6-9-10-11-3-5-7-14-8*11-10-12-13-9-6-14-8*0-1-2-5-7-9-10-12*0-1-3-5-7-14-6*,10.220502901353964,197.0,109,0.0
4,4-1-2-5-14-6*0-1-4-3-5-7-9-10*6-9-10-11-3-5-14-8*11-10-12-13-9-6-14-8*0-1-2-5-7-9-10-12*0-1-3-5-7-14-6*,10.22501611863314,196.0,128,0.0
5,4-1-2-5-14-6*0-1-4-3-5-7-9*6-9-10-11-3-5-14-8*11-10-12-13-9-6-14-8*0-1-2-5-7-9-10-12-13*0-1-3-5-7-14-6*,10.239845261121856,193.0,175,0.0
6,4-1-2-5-14-6*0-1-4-3-5-7-9-10*9-10-11-3-5-7-14-8*11-10-12-13-9-6-14-8*0-1-2-5-7-9-10-12-13*0-1-3-5-7-14-6*,10.242424242424242,192.0,193,0.0
7,4-1-2-5-14-6*0-1-4-3-5-7-9*6-9-10-11-3-5-14-8*11-10-12-13-9-6-14-8*0-1-2-5-7-9-10-12*0-1-3-5-7-14-6*,10.243068987749838,191.0,146,0.0
8,4-1-2-5-14-6*0-1-4-3-5-7-9-10*9-10-11-3-5-7-14-8*11-10-12-13-9-6-14-8*0-1-2-5-7-9-10-12*0-1-3-5-7-14-6*,10.245647969052223,190.0,121,0.0
9,4-1-2-5-14-6*0-1-3-5-7-14-6*9-10-11-3-5-14-8*11-10-12-13-9-6-14-8*0-1-2-5-7-9-10-12*0-1-4-3-5-7-9-10*,10.2501611863314,189.0,142,0.0
10,0-1-2-5-7-9-10-12-13*0-1-3-5-7-14-6*4-1-2-5-14-6*8-14-6-9-10-11*0-1-4-3-5-7-9-10*9-13-12-10-11-3-1-2*,10.252095422308187,181.0,200,0.0
11,0-1-2-5-7-9-10-12*0-1-3-5-7-14-6*4-1-2-5-14-6*8-14-6-9-10-11*0-1-4-3-5-7-9-10*9-13-12-10-11-3-1-2*,10.25531914893617,179.0,169,0.0
4,0-1-2-5-7-9-10-12*8-14-6-9-10-11*2-5-3-11-10-12-13*0-1-3-5-7-14-6*4-1-2-5-14-6*0-1-4-3-5-7-9-13*,10.26241134751773,176.0,110,0.0
3,8-14-6-9-10-11*13-12-10-11-3-4*0-1-4-3-5-7-9-13*0-1-2-5-14-6*0-1-2-5-7-9-10-12*0-1-3-5-7-14-6*,10.270793036750485,175.0,129,0.0
5,0-1-2-5-7-9-10-12*8-14-6-9-10-11*5-3-11-10-12-13*0-1-3-5-7-14-6*4-1-2-5-14-6*0-1-4-3-5-7-9-13*,10.272727272727272,173.0,177,0.0
0,4-3-5-7-9-13-12-10*0-1-2-5-14-6*0-1-2-5-7-9-10-12*12-10-11-3-5-7-14-6*0-1-3-4*8-14-6-9-10-11*,10.286266924564798,166.0,190,0.0
1,4-3-5-7-9-13-12*0-1-2-5-14-6*0-1-2-5-7-9-10-12*12-10-11-3-5-7-14-6*0-1-3-4*8-14-6-9-10-11*,10.295938104448744,161.0,198,0.0
0,4-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12-13*4-3-5-7-9-13-12*0-1-2-5-14-6*0-1-3-4*4-1-2-5-7-14-6*,10.313346228239846,159.0,164,0.0
1,4-3-11-10-9-6-14-8*0-1-3-4*0-1-2-5-14-6*13-12-10-9-7-5-2-1-0*4-3-5-7-9-13-12*6-14-7-5-3-4*,10.315280464216634,156.0,180,0.0
2,4-3-11-10-9-6-14-8*0-1-3-4*0-1-2-5-14-6*12-10-9-7-5-2-1-0*4-3-5-7-9-13-12*6-14-7-5-3-4*,10.326241134751774,154.0,171,0.0
3,12-10-9-7-5-2-1-0*4-3-1-0*6-14-7-5-3-4*6-14-5-2-1-0*1-3-11-10-9-6-14-8*4-3-5-7-9-13-12*,10.333333333333334,153.0,200,0.0
4,12-10-9-7-5-2-1-0*0-1-3-4*6-14-7-5-3-4*0-1-2-5-14-6*3-11-10-9-6-14-8*4-3-5-7-9-13-12*,10.346228239845262,150.0,175,0.0
15,0-1-2-5-7-9-10-12-13*12-13*0-1-3-5-7-14-6*4-3-5-7-9-13-12*4-1-2-5-14-6*2-1-3-11-10-9-6-14-8*,10.351386202450032,149.0,163,0.0
12,0-1-3-5-7-14-6*4-1-2-5-14-6*13-12-10-9-7-5-2-1-0*12-13-9-7-5-3-4*12-13*4-3-11-10-9-6-14-8*,10.3571889103804,148.0,197,0.0
17,0-1-2-5-7-9-10-12-13*12-13*0-1-3-5-7-14-6*4-3-5-7-9-13*4-1-2-5-14-6*2-1-3-11-10-9-6-14-8*,10.361057382333978,147.0,151,0.0
6,4-3-5-7-9-13-12*0-1-2-5-14-6*0-1-2-5-7-9-10-12*11-3-5-7-14-6*0-1-3-4*8-14-6-9-10-11*,10.361702127659576,146.0,167,0.0
19,0-1-2-5-7-9-10-12-13*12-13*0-1-3-5-7-14-6*4-3-5-7-9-13*4-1-2-5-14-6*1-3-11-10-9-6-14-8*,10.373952288845906,145.0,148,0.0
7,4-3-5-7-9-10-12*4-1-2-5-14-6*12-13-9-7-5-2-1-0*11-3-5-7-14-6*0-1-3-4*8-14-6-9-10-11*,10.374597034171504,144.0,162,0.0
8,7-14-6*4-3-5-7-9-13-12*0-1-3-4*4-3-1-2-5-14-6*4-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12*,10.381044487427468,143.0,130,0.0
9,3-11-10-9-6-14-8*7-14-6*0-1-2-5-14-6*0-1-3-4*0-1-2-5-7-9-10-12-13*4-3-5-7-9-13-12*,10.386847195357834,142.0,89,0.0
10,3-11-10-9-6-14-8*7-14-6*4-3-1-2-5-14-6*0-1-3-4*0-1-2-5-7-9-10-12-13*4-3-5-7-9-13-12*,10.390070921985815,141.0,99,0.0
11,4-3-5-7-9-13-12*7-14-6*0-1-3-4*4-1-2-5-14-6*3-11-10-9-6-14-8*0-1-2-5-7-9-10-12-13*,10.39651837524178,140.0,179,0.0
12,3-11-10-9-6-14-8*7-14-6*4-3-1-2-5-14-6*0-1-3-4*0-1-2-5-7-9-10-12*4-3-5-7-9-13-12*,10.401031592520956,139.0,100,0.0
13,4-3-5-7-9-13-12*7-14-6*0-1-3-4*4-1-2-5-14-6*3-11-10-9-6-14-8*0-1-2-5-7-9-10-12*,10.40747904577692,138.0,172,0.0
25,0-1-2-5-7-9-10-12*12-13*0-1-3-11-10-9-6-14-8*4-1-2-5-14-6*4-3-5-7-9-13-12*7-14-6*,10.41972920696325,136.0,175,0.0
26,0-1-2-5-7-9-10-12*12-13*0-1-3-11-10-9-6-14-8*4-1-2-5-14-6*4-3-5-7-9-13*7-14-6*,10.429400386847195,134.0,188,0.0
