,R_x,f_1,f_2,Generation,Rank
0,0-1-2-5-14-6-9-10*8-14-5-3-1-0*8-14-6-9-10-11*0-1-2-5-7-9-13-12*0-1-4-3-5-7-9-10*6-14-7-5-3-11-10-12*,10.221147646679562,193.0,185,0.0
0,2-1-4-3-5-7-9-13*0-1-2-5-7-9-10-12*0-1-2-5-14-6*0-1-3-11-10-12-13*4-3-5-7-14-6*4-3-11-10-9-6-14-8*,10.23920051579626,183.0,159,0.0
0,0-1-4-3-5-7-14-6*12-13-9-7-5-3-4*8-14-6-9-10-11*13-12-10-11-3-1-0*0-1-2-5-7-9-10-12*0-1-2-5-14-6*,10.241779497098646,177.0,82,0.0
1,0-1-4-3-5-7-14-6*13-9-7-5-3-4*8-14-6-9-10-11*13-12-10-11-3-1-0*0-1-2-5-14-6*0-1-2-5-7-9-10-12*,10.24629271437782,175.0,89,0.0
2,0-1-3-11-10-12*10-12-13-9-7-5-3-4*8-14-6-9-10-11*2-1-4-3-5-7-14-6*0-1-2-5-7-9-10-12*0-1-2-5-14-6*,10.254674403610574,174.0,87,0.0
3,0-1-2-5-14-6*0-1-2-5-7-9-10-12*8-14-6-9-10-11*4-3-5-7-14-6*2-1-4-3-5-7-9-13*0-1-3-11-10-12-13*,10.25918762088975,169.0,134,0.0
2,0-1-2-5-7-9-13-12*0-1-3-11-10-12-13*8-14-6-9-10-11*4-3-5-7-14-6*2-1-4-3-5-7-9-10*0-1-2-5-14-6*,10.270148291424888,166.0,191,0.0
4,0-1-2-5-14-6*0-1-2-5-7-9-10-12*8-14-6-9-10-11*3-5-7-14-6*2-1-4-3-5-7-9-13*0-1-3-11-10-12-13*,10.277240490006449,165.0,143,0.0
2,0-1-2-5-14-6*6-14-7-5-3-4-1-2*8-14-6-9-10-11-3-5*0-1-2-5-7-9-10-12*4-3-5-7-9-13-12*0-1-3-4*,10.28368794326241,162.0,189,0.0
3,0-1-2-5-7-9-10-12*6-14-7-5-3-4-1-2*8-14-6-9-10-11-3-1*0-1-3-4*4-3-5-7-9-13-12*0-1-2-5-14-6*,10.284332688588009,161.0,178,0.0
4,6-14-5-2-1-0*3-5-7-14-6*0-1-3-11-10-12*2-1-4-3-5-7-9-10*0-1-2-5-7-9-13-12*8-14-6-9-10-11*,10.297872340425531,160.0,146,0.0
6,0-1-2-5-14-6*0-1-2-5-7-9-10-12*8-14-6-9-10-11*7-14-6*2-1-4-3-5-7-9-13*0-1-3-11-10-12-13*,10.31076724693746,159.0,165,0.0
3,4-1-0*0-1-3-5-7-14-6*8-14-6-9-10-11-3-4*0-1-2-5-7-9-10-12*4-1-2-5-14-6*12-13-9-7-5-3-4*,10.316569954867829,158.0,126,0.0
5,6-14-5-2-1-0*7-14-6*0-1-2-5-7-9-13-12*2-1-4-3-5-7-9-10*0-1-3-11-10-12-13*8-14-6-9-10-11*,10.321727917472598,156.0,193,0.0
9,0-1-3-11*12-13-9-7-5-3-4*8-14-6-9-10-11*2-1-4-3-5-7-14-6*0-1-2-5-7-9-10-12*0-1-2-5-14-6*,10.330109606705353,154.0,87,0.0
5,6-14-5-2-1-4*0-1-3-5-14-6*10-12-13-9-7-5-3-4*8-14-6-9-10-11-3-4*12-10-9-7-5-2-1-0*7-14-6*,10.336557059961317,152.0,172,0.0
5,12-13-9-7-5-3-4*0-1-2-5-14-6*0-1-3-4*0-1-2-5-7-9-10-12*4-3-11-10-9-6-14-8*6-14-7-5-3*,10.344294003868471,150.0,177,0.0
6,1-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12*0-1-3-4*6-14-5-2-1-0*12-13-9-7-5-3-4*6-14-7-5-3*,10.351386202450032,149.0,114,0.0
7,0-1-2-5-7-9-10-12*4-3-11-10-9-6-14-8*0-1-3-4*6-14-5-2-1-4*12-13-9-7-5-3-4*6-14-7-5-3*,10.353965183752418,148.0,175,0.0
8,1-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12*0-1-3-4*6-14-5-2-1-4*12-13-9-7-5-3-4*6-14-7-5-3*,10.361057382333978,147.0,106,0.0
12,6-14-7-5-3-11*0-1-2-5-14-6*8-14-6-9-10-11*0-1-2-5-7-9-10-12*0-1-3-4*12-13-9-7-5-3-4*,10.361702127659576,146.0,150,0.0
13,0-1-3-4*12-13-9-7-5-3-4*12-10-9-7-5-2-1-0*8-14-6-9-10-11*6-14-5-2-1-4*6-14-7-5-3-11*,10.37137330754352,144.0,197,0.0
11,7-14-6*4-3-1-2-5-14-6*0-1-3-4*4-3-5-7-9-13-12*8-14-6-9-10-11-3-4*0-1-2-5-7-9-10-12*,10.381044487427468,143.0,188,0.0
15,0-1-2-5-7-9-10-12*1-2*0-1-3-5-7-14-6*3-11-10-9-6-14-8*12-13-9-7-5-3-4*4-1-2-5-14-6*,10.388136686009029,142.0,69,0.0
11,6-14-5-2-1-4*6-14-7*0-1-2-5-7-9-10-12*0-1-3-4*8-14-6-9-10-11-3-1*12-13-9-7-5-3-4*,10.39458413926499,141.0,193,0.0
9,4-1-2-5-14-6*12-13*0-1-2-5-7-9-10-12*8-14-6-9-10-11-3*0-1-3-5-7-14-6*4-3-5-7-9-13*,10.397807865892972,140.0,171,0.0
12,3-11-10-9-6-14-8*0-1-2-5-7-9-10-12*4-3-5-7-9-13-12*6-14-5-2-1-4*6-14-7*0-1-3-4*,10.40747904577692,138.0,138,0.0
12,4-1-2-5-14-6*4-3-5-7-9-10-12-13*12-13-9-7-5-2-1-0*11-10-9-6-14-8*11-3-1-0*7-14-6*,10.433268858800774,136.0,199,0.0
18,0-1-3-11*7-14-6*0-1-2-5-7-9-10-12*8-14-6-9-10-11*4-3-5-7-9-13-12*4-1-2-5-14-6*,10.440361057382336,134.0,143,0.0
18,4-1-2-5-14-6*0-1-2-5-7-9-10-12*13-9-7-5-3-4*3-5-7-14-6*1-3-11-10-9-6-14-8*13-12*,10.450676982591876,132.0,87,0.0
17,8-14-6-9-10-11-3-1*4-1-2-5-14-6*7-14-6*0-1-2-5-7-9-10-12*3-1-2*4-3-5-7-9-13-12*,10.46808510638298,131.0,185,0.0
18,7-14-6*4-1-2-5-14-6*12-13-9-7-5-3-4*1-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12*13-12*,10.474532559638943,128.0,181,0.0
19,7-14-6*4-1-2-5-14-6*13-12*1-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12*13-9-7-5-3-4*,10.484203739522888,126.0,154,0.0
20,7-14*4-1-2-5-14-6*13-12*1-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12*13-9-7-5-3-4*,10.516441005802708,124.0,132,0.0
