,Unnamed: 0,Total_iterations,Add_vertex,Delete_vertex,Insert_inside_vertex,Delete_inside_vertex
0,0.0,0.0,0.25,0.25,0.25,0.25
1,1.0,1.0,0.25,0.25,0.25,0.25
2,2.0,2.0,0.25,0.25,0.25,0.25
3,3.0,3.0,0.25,0.25,0.25,0.25
4,4.0,4.0,0.25,0.25,0.25,0.25
5,5.0,5.0,0.25,0.25,0.25,0.25
6,6.0,6.0,0.25,0.25,0.25,0.25
7,7.0,7.0,0.25,0.25,0.25,0.25
8,8.0,8.0,0.25,0.25,0.25,0.25
9,9.0,9.0,0.25,0.25,0.25,0.25
10,10.0,10.0,0.25,0.25,0.25,0.25
11,11.0,11.0,0.25,0.25,0.25,0.25
12,12.0,12.0,0.25,0.25,0.25,0.25
13,13.0,13.0,0.25,0.25,0.25,0.25
14,14.0,14.0,0.25,0.25,0.25,0.25
15,15.0,15.0,0.25,0.25,0.25,0.25
16,16.0,16.0,0.25,0.25,0.25,0.25
17,17.0,17.0,0.25,0.25,0.25,0.25
18,18.0,18.0,0.25,0.25,0.25,0.25
19,19.0,19.0,0.25,0.25,0.25,0.25
20,20.0,20.0,0.25,0.25,0.25,0.25
21,21.0,21.0,0.25,0.25,0.25,0.25
22,22.0,22.0,0.25,0.25,0.25,0.25
23,23.0,23.0,0.25,0.25,0.25,0.25
24,24.0,24.0,0.25,0.25,0.25,0.25
25,25.0,25.0,0.25,0.25,0.25,0.25
26,26.0,26.0,0.25,0.25,0.25,0.25
27,27.0,27.0,0.25,0.25,0.25,0.25
28,28.0,28.0,0.25,0.25,0.25,0.25
29,29.0,29.0,0.25,0.25,0.25,0.25
30,30.0,30.0,0.25,0.25,0.25,0.25
31,31.0,31.0,0.25,0.25,0.25,0.25
32,32.0,32.0,0.25,0.25,0.25,0.25
33,33.0,33.0,0.25,0.25,0.25,0.25
34,34.0,34.0,0.25,0.25,0.25,0.25
35,35.0,35.0,0.25,0.25,0.25,0.25
36,36.0,36.0,0.25,0.25,0.25,0.25
37,37.0,37.0,0.25,0.25,0.25,0.25
38,38.0,38.0,0.25,0.25,0.25,0.25
39,39.0,39.0,0.25,0.25,0.25,0.25
