Total_iterations,Unnamed: 0.1,Add_vertex,Delete_vertex,Insert_inside_vertex,Delete_inside_vertex
43,43.0,0.25,0.25,0.25,0.25
44,44.0,0.25,0.25,0.25,0.25
45,45.0,0.25,0.25,0.25,0.25
46,46.0,0.25,0.25,0.25,0.25
47,47.0,0.25,0.25,0.25,0.25
48,48.0,0.25,0.25,0.25,0.25
49,49.0,0.25,0.25,0.25,0.25
50,50.0,0.25,0.25,0.25,0.25
51,51.0,0.25,0.25,0.25,0.25
52,52.0,0.25,0.25,0.25,0.25
53,53.0,0.25,0.25,0.25,0.25
54,54.0,0.25,0.25,0.25,0.25
55,55.0,0.25,0.25,0.25,0.25
56,56.0,0.25,0.25,0.25,0.25
57,57.0,0.25,0.25,0.25,0.25
58,58.0,0.25,0.25,0.25,0.25
59,59.0,0.25,0.25,0.25,0.25
60,60.0,0.25,0.25,0.25,0.25
61,61.0,0.25,0.25,0.25,0.25
62,62.0,0.25,0.25,0.25,0.25
63,63.0,0.25,0.25,0.25,0.25
64,64.0,0.25,0.25,0.25,0.25
65,65.0,0.25,0.25,0.25,0.25
66,66.0,0.25,0.25,0.25,0.25
67,67.0,0.25,0.25,0.25,0.25
68,68.0,0.25,0.25,0.25,0.25
69,69.0,0.25,0.25,0.25,0.25
70,70.0,0.25,0.25,0.25,0.25
71,71.0,0.25,0.25,0.25,0.25
72,72.0,0.25,0.25,0.25,0.25
73,73.0,0.25,0.25,0.25,0.25
74,74.0,0.25,0.25,0.25,0.25
75,75.0,0.25,0.25,0.25,0.25
76,76.0,0.25,0.25,0.25,0.25
77,77.0,0.25,0.25,0.25,0.25
78,78.0,0.25,0.25,0.25,0.25
79,79.0,0.25,0.25,0.25,0.25
80,80.0,0.25,0.25,0.25,0.25
81,81.0,0.25,0.25,0.25,0.25
82,82.0,0.25,0.25,0.25,0.25
83,83.0,0.25,0.25,0.25,0.25
84,84.0,0.25,0.25,0.25,0.25
85,85.0,0.25,0.25,0.25,0.25
86,86.0,0.25,0.25,0.25,0.25
87,87.0,0.25,0.25,0.25,0.25
88,88.0,0.25,0.25,0.25,0.25
89,89.0,0.25,0.25,0.25,0.25
90,90.0,0.25,0.25,0.25,0.25
91,91.0,0.25,0.25,0.25,0.25
92,92.0,0.25,0.25,0.25,0.25
93,93.0,0.25,0.25,0.25,0.25
94,94.0,0.25,0.25,0.25,0.25
95,95.0,0.25,0.25,0.25,0.25
96,96.0,0.25,0.25,0.25,0.25
97,97.0,0.25,0.25,0.25,0.25
98,98.0,0.25,0.25,0.25,0.25
99,99.0,0.25,0.25,0.25,0.25
100,100.0,0.25,0.25,0.25,0.25
101,101.0,0.25,0.25,0.25,0.25
102,102.0,0.25,0.25,0.25,0.25
103,103.0,0.25,0.25,0.25,0.25
104,104.0,0.25,0.25,0.25,0.25
105,105.0,0.25,0.25,0.25,0.25
106,106.0,0.25,0.25,0.25,0.25
107,107.0,0.25,0.25,0.25,0.25
108,108.0,0.25,0.25,0.25,0.25
109,109.0,0.25,0.25,0.25,0.25
110,110.0,0.25,0.25,0.25,0.25
111,111.0,0.25,0.25,0.25,0.25
112,112.0,0.25,0.25,0.25,0.25
113,113.0,0.25,0.25,0.25,0.25
114,114.0,0.25,0.25,0.25,0.25
115,115.0,0.25,0.25,0.25,0.25
116,116.0,0.25,0.25,0.25,0.25
117,117.0,0.25,0.25,0.25,0.25
118,118.0,0.25,0.25,0.25,0.25
119,119.0,0.25,0.25,0.25,0.25
120,120.0,0.25,0.25,0.25,0.25
121,121.0,0.25,0.25,0.25,0.25
122,122.0,0.25,0.25,0.25,0.25
123,123.0,0.25,0.25,0.25,0.25
124,124.0,0.25,0.25,0.25,0.25
125,125.0,0.25,0.25,0.25,0.25
126,126.0,0.25,0.25,0.25,0.25
127,127.0,0.25,0.25,0.25,0.25
128,128.0,0.25,0.25,0.25,0.25
129,129.0,0.25,0.25,0.25,0.25
130,130.0,0.25,0.25,0.25,0.25
131,131.0,0.25,0.25,0.25,0.25
132,132.0,0.25,0.25,0.25,0.25
133,133.0,0.25,0.25,0.25,0.25
134,134.0,0.25,0.25,0.25,0.25
135,135.0,0.25,0.25,0.25,0.25
136,136.0,0.25,0.25,0.25,0.25
137,137.0,0.25,0.25,0.25,0.25
138,138.0,0.25,0.25,0.25,0.25
139,139.0,0.25,0.25,0.25,0.25
140,140.0,0.25,0.25,0.25,0.25
141,141.0,0.25,0.25,0.25,0.25
142,142.0,0.25,0.25,0.25,0.25
143,143.0,0.25,0.25,0.25,0.25
144,144.0,0.25,0.25,0.25,0.25
145,145.0,0.25,0.25,0.25,0.25
146,146.0,0.25,0.25,0.25,0.25
147,147.0,0.25,0.25,0.25,0.25
148,148.0,0.25,0.25,0.25,0.25
149,149.0,0.25,0.25,0.25,0.25
150,150.0,0.25,0.25,0.25,0.25
151,151.0,0.25,0.25,0.25,0.25
152,152.0,0.25,0.25,0.25,0.25
153,153.0,0.25,0.25,0.25,0.25
154,154.0,0.25,0.25,0.25,0.25
155,155.0,0.25,0.25,0.25,0.25
156,156.0,0.25,0.25,0.25,0.25
157,157.0,0.25,0.25,0.25,0.25
158,158.0,0.25,0.25,0.25,0.25
159,159.0,0.25,0.25,0.25,0.25
160,160.0,0.25,0.25,0.25,0.25
161,161.0,0.25,0.25,0.25,0.25
162,162.0,0.25,0.25,0.25,0.25
163,163.0,0.25,0.25,0.25,0.25
164,164.0,0.25,0.25,0.25,0.25
165,165.0,0.25,0.25,0.25,0.25
166,166.0,0.25,0.25,0.25,0.25
167,167.0,0.25,0.25,0.25,0.25
168,168.0,0.25,0.25,0.25,0.25
169,169.0,0.25,0.25,0.25,0.25
170,170.0,0.25,0.25,0.25,0.25
171,171.0,0.25,0.25,0.25,0.25
172,172.0,0.25,0.25,0.25,0.25
173,173.0,0.25,0.25,0.25,0.25
174,174.0,0.25,0.25,0.25,0.25
175,175.0,0.25,0.25,0.25,0.25
176,176.0,0.25,0.25,0.25,0.25
177,177.0,0.25,0.25,0.25,0.25
178,178.0,0.25,0.25,0.25,0.25
179,179.0,0.25,0.25,0.25,0.25
180,180.0,0.25,0.25,0.25,0.25
181,181.0,0.25,0.25,0.25,0.25
182,182.0,0.25,0.25,0.25,0.25
183,183.0,0.25,0.25,0.25,0.25
184,184.0,0.25,0.25,0.25,0.25
185,185.0,0.25,0.25,0.25,0.25
186,186.0,0.25,0.25,0.25,0.25
187,187.0,0.25,0.25,0.25,0.25
188,188.0,0.25,0.25,0.25,0.25
189,189.0,0.25,0.25,0.25,0.25
190,190.0,0.25,0.25,0.25,0.25
191,191.0,0.25,0.25,0.25,0.25
192,192.0,0.25,0.25,0.25,0.25
193,193.0,0.25,0.25,0.25,0.25
194,194.0,0.25,0.25,0.25,0.25
195,195.0,0.25,0.25,0.25,0.25
196,196.0,0.25,0.25,0.25,0.25
197,197.0,0.25,0.25,0.25,0.25
198,198.0,0.25,0.25,0.25,0.25
199,199.0,0.25,0.25,0.25,0.25
200,200.0,0.2458022997147079,0.257424833256082,0.2381059979132445,0.2586668691159654
201,201.0,0.2415964316655474,0.2647574590247987,0.2261394820596649,0.2675066272499889
202,202.0,0.2374321464148533,0.2720895199736427,0.2143496132379184,0.2761287203735855
203,203.0,0.233355183847847,0.2793268867901535,0.202797794054204,0.2845201353077954
204,204.0,0.2291422847795863,0.2863760946146229,0.1918117655781641,0.2926698550276267
205,205.0,0.2251856781888598,0.2931804507643076,0.1813222914048986,0.300311579641934
206,206.0,0.2214185412160283,0.2998115961555381,0.1714091605657434,0.3073607020626901
207,207.0,0.21780871622324,0.3060428008643817,0.1621735935410201,0.3139748893713582
208,208.0,0.2142430639138585,0.3118360156199666,0.1536125341130444,0.3203083863531304
209,209.0,0.2108675451957488,0.317131293708205,0.1457142073182883,0.3262869537777578
210,210.0,0.2078243116659274,0.3217043354187904,0.1385652143203765,0.3319061385949056
211,211.0,0.2050989871086763,0.3257648871530235,0.1323036699173108,0.3368324558209893
212,212.0,0.2027536366224263,0.3294799242933685,0.1265451130426791,0.341221326041526
213,213.0,0.2010158721976519,0.3326757199528238,0.1215702928742191,0.3447381149753051
214,214.0,0.1999084316060163,0.3351497459807712,0.1173575679019917,0.3475842545112206
215,215.0,0.1989328955419834,0.3372743306765237,0.113826879675199,0.3499658941062938
216,216.0,0.1981631718825216,0.3390403577657899,0.1108811200434619,0.3519153503082265
217,217.0,0.1978822514441706,0.3404528336058778,0.1082874775871819,0.3533774373627695
218,218.0,0.1979429917322151,0.3415786476754953,0.1061599295046138,0.3543184310876756
219,219.0,0.1982052689319558,0.3424336536251512,0.1045836613338833,0.3547774161090095
220,220.0,0.1986146872045977,0.3430135755388813,0.1034834732646616,0.3548882639918592
221,221.0,0.1991880552218014,0.3431818790904225,0.1028649265146532,0.3547651391731227
222,222.0,0.2000281920583325,0.3430109607420625,0.1027999132147293,0.3541609339848756
223,223.0,0.200740999970712,0.3425137086284923,0.1031266913914042,0.3536186000093914
224,224.0,0.2015828263538702,0.3418841518157411,0.1037399156314054,0.3527931061989832
225,225.0,0.202363766197936,0.3408325494361392,0.1046830638574739,0.3521206205084509
226,226.0,0.2030336622174839,0.3394688418885285,0.1058819132575301,0.3516155826364576
227,227.0,0.2036902488544545,0.3380441290678562,0.1071835643134178,0.3510820577642716
228,228.0,0.2042734699887395,0.336437115041048,0.1086777579776957,0.3506116569925169
229,229.0,0.2050619262368981,0.33471816813204,0.1102531914402645,0.3499667141907975
230,230.0,0.2055486178440486,0.3331361494117546,0.1119065592041088,0.3494086735400881
231,231.0,0.2059528335390352,0.3316177586840149,0.11369764616202,0.3487317616149301
232,232.0,0.2063643707458303,0.3300455346845808,0.1155481353849015,0.3480419591846875
233,233.0,0.2067218718606218,0.3286482060877838,0.1172765743807194,0.3473533476708751
234,234.0,0.2071593847918002,0.3271466663175961,0.1191310307914522,0.3465629180991517
235,235.0,0.2075834692871903,0.3256770388930596,0.1210236030277971,0.3457158887919533
236,236.0,0.2078626672038418,0.3241807823376119,0.1229151332993293,0.3450414171592171
237,237.0,0.2080107308240134,0.3228453180265567,0.1247333499118774,0.3444106012375526
238,238.0,0.2081252481804246,0.3216062138864046,0.1264725931012756,0.3437959448318952
239,239.0,0.2084739069157526,0.3205201343070411,0.1282629028035956,0.3427430559736108
240,240.0,0.2088955630603352,0.3193808710012427,0.1300858807717083,0.3416376851667139
241,241.0,0.2091633813579664,0.3184920194736417,0.131781128230294,0.3405634709380979
242,242.0,0.2097105820972337,0.3176284247852046,0.1330392611805093,0.3396217319370524
243,243.0,0.2101075078586538,0.3169897900938828,0.1343593827804982,0.3385433192669652
244,244.0,0.2108189944412498,0.3162142243616468,0.1354947176673434,0.33747206352976
245,245.0,0.2114197890719616,0.3153883233534202,0.136623570036235,0.3365683175383832
246,246.0,0.2119972589746655,0.3147716029086344,0.1373122645448562,0.3359188735718439
247,247.0,0.2126401670284266,0.3142472464040659,0.1380159380968969,0.3350966484706106
248,248.0,0.2134095075321978,0.313697045043866,0.1385885736674473,0.3343048737564889
249,249.0,0.2143829210672836,0.3133418331051271,0.1391334633369223,0.333141782490667
250,250.0,0.2151652589724605,0.3131609566744332,0.1396022562716818,0.3320715280814245
251,251.0,0.2156894960842209,0.3130913652167493,0.1400438644924187,0.3311752742066111
252,252.0,0.2161761650817534,0.3132199207203056,0.1402940296781191,0.330309884519822
253,253.0,0.2166305915510689,0.3132997888196884,0.1405858586442913,0.3294837609849515
254,254.0,0.2171578080128163,0.3134007760260734,0.1407509509680675,0.3286904649930428
255,255.0,0.2181749481328401,0.3127640978150008,0.1409919011631341,0.328069052889025
256,256.0,0.2193393147938191,0.3120558867769666,0.1414129322182566,0.3271918662109577
257,257.0,0.2205793379619476,0.3114859603402509,0.1416418567594092,0.3262928449383923
258,258.0,0.2216587166315703,0.3109797418387171,0.1417729709154041,0.3255885706143085
259,259.0,0.2231942394684369,0.3104764393925935,0.1418911285135835,0.3244381926253861
260,260.0,0.2251384280802928,0.3100678155754227,0.1420143302818847,0.3227794260623999
261,261.0,0.2267716092821722,0.3095043529351897,0.1425335797879097,0.3211904579947285
262,262.0,0.2282462655415508,0.3090580376544146,0.1428361732951005,0.3198595235089342
263,263.0,0.229588698406714,0.3087562163469105,0.1432303635454267,0.3184247217009489
264,264.0,0.230761222122632,0.3087190604698608,0.1436015209076184,0.3169181964998889
265,265.0,0.2318969263593853,0.3086718918177512,0.143921141437448,0.3155100403854156
266,266.0,0.2332222468510406,0.3085495620171518,0.1441488401472397,0.3140793509845681
267,267.0,0.234515572569457,0.3083618847166087,0.1443820650035936,0.3127404777103407
268,268.0,0.2358288206761909,0.3081785818514876,0.1444712656594058,0.3115213318129158
269,269.0,0.2370816706547645,0.3079989357590686,0.1445236131924171,0.3103957803937499
270,270.0,0.2383496381359728,0.3078673594551478,0.1444322768845414,0.3093507255243381
271,271.0,0.2396073102517128,0.3079311243422434,0.1443236133366232,0.3081379520694207
272,272.0,0.240833464229871,0.3081223505076902,0.1441849708205236,0.3068592144419153
273,273.0,0.2417940177514642,0.3084341125113304,0.1441044877871404,0.3056673819500651
274,274.0,0.2427397218346872,0.3088501492338275,0.1438333197228746,0.3045768092086108
275,275.0,0.2437214884562041,0.3093434154437552,0.1433871315626474,0.3035479645373933
276,276.0,0.2447612180803536,0.3097578203509365,0.1429120876821129,0.302568873886597
277,277.0,0.2455437115273621,0.3102416752702894,0.1426162116547815,0.3015984015475669
278,278.0,0.2463351665293274,0.3107371716103178,0.1422372312653471,0.3006904305950078
279,279.0,0.2470098856054808,0.3111556833258961,0.1419464895500649,0.2998879415185582
280,280.0,0.2473853419668322,0.311572622640195,0.1417870413469142,0.2992549940460587
281,281.0,0.2473146126877287,0.3120558071844941,0.1419787225185474,0.2986508576092297
282,282.0,0.2470056741630076,0.3124290023519937,0.1423684707546836,0.2981968527303151
283,283.0,0.246467030803871,0.3127623882667169,0.1427063330307408,0.2980642478986712
284,284.0,0.2458026433261729,0.3130799258626829,0.1432102863073203,0.2979071445038238
285,285.0,0.244958930909581,0.3134790784694007,0.1437961460587613,0.2977658445622568
286,286.0,0.2440864451684198,0.3139076371588725,0.1444258886062313,0.2975800290664763
287,287.0,0.2430563994921919,0.3144201834947897,0.1450446303593001,0.2974787866537183
288,288.0,0.2417671936163916,0.314820565216534,0.1458118970459769,0.2976003441210974
289,289.0,0.2404699196695798,0.315011500763857,0.146717091735751,0.2978014878308122
290,290.0,0.2390983179788007,0.315082211392722,0.1476541708843204,0.2981652997441568
291,291.0,0.2377721131669573,0.3150680124297393,0.1486048276226058,0.2985550467806976
292,292.0,0.2366998624534037,0.3150667095555187,0.1492517815681384,0.2989816464229392
293,293.0,0.235984707486056,0.3148068353359352,0.1499684344897375,0.2992400226882712
294,294.0,0.2355995111973566,0.3146653749824053,0.1503913679648772,0.2993437458553609
295,295.0,0.2353326429064059,0.3144240959440717,0.1510034459146675,0.2992398152348549
296,296.0,0.2352435715468789,0.3140905205243837,0.1516119272878921,0.2990539806408454
297,297.0,0.2352124076931765,0.3139041453569822,0.1521918628358931,0.2986915841139483
298,298.0,0.2351919769553708,0.3135985199594124,0.153068232024213,0.2981412710610038
299,299.0,0.2353468030915699,0.313137268724656,0.1540057178666218,0.2975102103171523
300,300.0,0.2353764472266218,0.3128448661746207,0.1550401306159701,0.2967385559827875
301,301.0,0.2352508715171281,0.3126029727389623,0.1559990788321369,0.2961470769117729
302,302.0,0.2352712945488786,0.3124242840263482,0.1567788184775999,0.2955256029471734
303,303.0,0.2351986262113319,0.3123534451038338,0.1573397204919663,0.2951082081928682
304,304.0,0.2353259039801543,0.3121584199376254,0.1575994396196491,0.2949162364625715
305,305.0,0.2353884762361869,0.3121587838237519,0.157805122374223,0.2946476175658384
306,306.0,0.2355871747814806,0.3120518677772945,0.1580017747211,0.2943591827201251
307,307.0,0.2356685711288398,0.3121037414608134,0.1581348973585671,0.2940927900517801
308,308.0,0.2360754400477498,0.3118970396329246,0.1582199604597881,0.2938075598595377
309,309.0,0.2363887732242669,0.3116948970240433,0.1583346811659246,0.2935816485857654
310,310.0,0.2366711851005903,0.3116182824593119,0.1582719536210811,0.2934385788190169
311,311.0,0.2370123857821693,0.3117599687423791,0.1580929576800259,0.2931346877954259
312,312.0,0.2372960497319879,0.3120587359036341,0.1577123997193314,0.2929328146450466
313,313.0,0.2375904437069541,0.3125132396891899,0.1570547686533905,0.2928415479504657
314,314.0,0.2377888115569123,0.3129266886769598,0.156299782886241,0.292984716879887
315,315.0,0.2378969427919167,0.3132086641233191,0.1558126171741821,0.2930817759105821
316,316.0,0.2382795057176275,0.3132566120367375,0.1552657686266066,0.2931981136190283
317,317.0,0.2385958952776957,0.3134673183661648,0.1546944643454844,0.2932423220106551
318,318.0,0.2388931871188679,0.3136043006110399,0.1541844707007984,0.293318041569294
319,319.0,0.2391077771206737,0.3137456341018929,0.1538292370935151,0.2933173516839184
320,320.0,0.2392341724430152,0.3140536673360312,0.1534187536825851,0.2932934065383685
321,321.0,0.2395093172732154,0.3142269957842699,0.1528286644222725,0.2934350225202423
322,322.0,0.2399172099878983,0.3142224366534207,0.1521880179237346,0.2936723354349465
323,323.0,0.2401798196349978,0.3140335668048702,0.1520347178556107,0.2937518957045213
324,324.0,0.240362343750828,0.313902689117315,0.1519683506800943,0.2937666164517628
325,325.0,0.2405082677730749,0.3137475453671361,0.1518989741755833,0.2938452126842057
326,326.0,0.240801396625991,0.3134174108402781,0.151791490406666,0.2939897021270649
327,327.0,0.2411419186375216,0.3130376561494898,0.1517167224905009,0.2941037027224876
328,328.0,0.2413887721246985,0.3127268736914262,0.1516255322720545,0.2942588219118209
329,329.0,0.2416087960689256,0.3125824026569768,0.1514674418848366,0.294341359389261
330,330.0,0.2417420497671929,0.312498858858878,0.1512545568952836,0.2945045344786456
331,331.0,0.2419891255887432,0.3124149104650078,0.1510848267185975,0.2945111372276515
332,332.0,0.242336685242738,0.3123284385918579,0.1506391518905809,0.2946957242748232
333,333.0,0.2426937226278145,0.3122183945410975,0.1501151374014808,0.2949727454296071
334,334.0,0.2431555898954399,0.311931162994544,0.1495958423754632,0.2953174047345531
335,335.0,0.2437618774896816,0.3116593909862503,0.1488461306881063,0.295732600835962
336,336.0,0.2445331950270791,0.311343887591778,0.1480834481711143,0.2960394692100288
337,337.0,0.2452482226596901,0.3108969636836512,0.1474203870839122,0.2964344265727467
338,338.0,0.2459462545945893,0.3104483676778404,0.1467832323869463,0.2968221453406241
339,339.0,0.2467360525550236,0.3101975016393489,0.1458268627870741,0.2972395830185536
340,340.0,0.2474684720648034,0.3098563776595525,0.1449291674133346,0.2977459828623097
341,341.0,0.2481921296169163,0.3095077068739066,0.1440631383593476,0.2982370251498297
342,342.0,0.2487973227688718,0.3091424944263748,0.1432617460467165,0.2987984367580371
343,343.0,0.2493355236365445,0.3087343170859305,0.142577505262708,0.2993526540148171
344,344.0,0.2500006148507612,0.3081423615555897,0.141985464021825,0.2998715595718241
345,345.0,0.2507402071402911,0.3074751065928318,0.1414276556674454,0.3003570305994318
346,346.0,0.2516044861353034,0.3069623764518252,0.1405785930183711,0.3008545443945004
347,347.0,0.252295462854169,0.3064494761482225,0.139853643391966,0.3014014176056426
348,348.0,0.2529394699637287,0.305898212586239,0.1392899180746961,0.3018723993753363
349,349.0,0.2536809358826361,0.3054186432583962,0.1385506398189417,0.3023497810400261
350,350.0,0.2543883399746444,0.3050468174420933,0.1378941425770606,0.3026707000062017
351,351.0,0.2550246184160552,0.3045790008770399,0.1373682719417012,0.3030281087652036
352,352.0,0.2557239474119079,0.3039298945165531,0.1369441668696512,0.3034019912018877
353,353.0,0.2562643007034739,0.3032330672015287,0.1367959764262074,0.3037066556687899
354,354.0,0.256816131851535,0.3026064382235328,0.1365498256459811,0.3040276042789512
355,355.0,0.2574082278627683,0.3019546634011331,0.1364321527590059,0.3042049559770926
356,356.0,0.2584053608792711,0.3011788272250861,0.1362379608903535,0.3041778510052893
357,357.0,0.2592398747403053,0.3004670884474178,0.1362962779255666,0.3039967588867103
358,358.0,0.2598983837494943,0.299894846605843,0.1363427434100076,0.3038640262346551
359,359.0,0.2604994083624548,0.2993775407306089,0.136408260998754,0.3037147899081823
360,360.0,0.2607358542955616,0.2988017571619744,0.136635400833355,0.3038269877091091
361,361.0,0.2610558156111081,0.2983122684587794,0.1368809338330888,0.3037509820970238
362,362.0,0.2614973273343799,0.2977911976411977,0.1371490023402785,0.303562472684144
363,363.0,0.2618089597423276,0.2973173683411933,0.1374332862694561,0.303440385647023
364,364.0,0.2619589238605337,0.2968021618502652,0.1375591039490203,0.3036798103401807
365,365.0,0.2620169420756399,0.2963073692247374,0.1375983928854254,0.3040772958141973
366,366.0,0.2621784612145137,0.295697473004606,0.1376784090255738,0.3044456567553064
367,367.0,0.2621432370759028,0.2949682970601334,0.1380992548966434,0.3047892109673205
368,368.0,0.2620916687648001,0.2942381977698297,0.138618540150235,0.3050515933151353
369,369.0,0.2620877358400572,0.2937105029164021,0.1389149841594147,0.3052867770841261
370,370.0,0.2621523725679389,0.2931734265260321,0.139228731199929,0.3054454697061001
371,371.0,0.2618696743187502,0.2929278876484334,0.1395762493061121,0.3056261887267044
372,372.0,0.2613744443163835,0.2925842268109503,0.140294246193214,0.3057470826794522
373,373.0,0.2606771863252725,0.2921477258613446,0.1412623684453234,0.3059127193680596
374,374.0,0.260040052737116,0.2917203576615946,0.1422207199215341,0.3060188696797552
375,375.0,0.2594701398891692,0.291337721265454,0.1430839927749766,0.3061081460704003
376,376.0,0.2588021771572206,0.2911300140816096,0.143942017428948,0.3061257913322219
377,377.0,0.2583076806455113,0.2909122349683031,0.144650047166255,0.3061300372199307
378,378.0,0.2578098984980708,0.2907318084678433,0.1453057330627103,0.3061525599713757
379,379.0,0.2572057431149168,0.290581556107686,0.146014231082885,0.3061984696945124
380,380.0,0.2568650134814212,0.2902964879509588,0.146589766540023,0.3062487320275971
381,381.0,0.2567093554958191,0.2900113309558884,0.1472584467621166,0.306020866786176
382,382.0,0.256505582239549,0.2896837933374221,0.1478458574050365,0.3059647670179926
383,383.0,0.2563297296743221,0.2895284830137878,0.1482969444902702,0.3058448428216199
384,384.0,0.2563498992388277,0.289215729307505,0.1488472078778058,0.3055871635758616
385,385.0,0.2565698836699367,0.288728131786744,0.1494040730757995,0.3052979114675198
386,386.0,0.2555182300520903,0.2902334939664177,0.1494062438522409,0.3048420321292512
387,387.0,0.2545682151410265,0.2913623093699013,0.1497716826338442,0.304297792855228
388,388.0,0.2537043011587556,0.2921933455974709,0.1501431655805631,0.3039591876632106
389,389.0,0.2529500481184196,0.2930288728765829,0.1504669621864667,0.303554116818531
390,390.0,0.2524396914652703,0.2938110607023033,0.1506564650104225,0.3030927828220041
391,391.0,0.2518134426246459,0.2948305573251338,0.1507388140421666,0.3026171860080539
392,392.0,0.2513527927668795,0.295798729653089,0.1507077930132979,0.3021406845667339
393,393.0,0.2508865842099786,0.2966932715470151,0.1506871418173328,0.3017330024256737
394,394.0,0.2503923209427764,0.2975235024495679,0.1505757587714442,0.3015084178362118
395,395.0,0.2499439753808146,0.2981732078313482,0.150691568756478,0.3011912480313594
396,396.0,0.2496588711139328,0.2985322123620859,0.150822396100365,0.3009865204236164
397,397.0,0.2494371846842118,0.2988602995474142,0.1508555582229674,0.3008469575454066
398,398.0,0.2491758963139528,0.2991790826934908,0.1508538363953698,0.3007911845971867
399,399.0,0.2488782881405558,0.2996580271278729,0.15080363731455,0.3006600474170215
400,400.0,0.2486825028522032,0.3000806527187769,0.1507682458680164,0.3004685985610038
401,401.0,0.2479840223424326,0.3013074660390472,0.1504855320235829,0.3002229795949374
402,402.0,0.2472771226388774,0.3024816969004274,0.1501417633786271,0.3000994170820681
403,403.0,0.2466593388348841,0.3036506733263702,0.1497007816547825,0.2999892061839633
404,404.0,0.2460665075383371,0.3046888228494855,0.1493049603494411,0.2999397092627363
405,405.0,0.2455643419437742,0.3055540939251453,0.1490180870484196,0.2998634770826608
406,406.0,0.2452821009638811,0.3060738868134527,0.1486797002698496,0.2999643119528165
407,407.0,0.2449486509287654,0.3066357649206235,0.1483883295657072,0.3000272545849039
408,408.0,0.2446847467433014,0.3071001006341198,0.1480759616521889,0.3001391909703897
409,409.0,0.2446223914343809,0.3072071094299057,0.1478209034953937,0.3003495956403196
410,410.0,0.2445219332669213,0.307195457066356,0.1476135324966004,0.3006690771701223
411,411.0,0.2445109721256131,0.3070793121954565,0.1474668219833541,0.3009428936955763
412,412.0,0.2441083652020531,0.3072430314083817,0.1473237555833858,0.3013248478061794
413,413.0,0.2432145926805001,0.3080061699713622,0.1471829377372763,0.3015962996108614
414,414.0,0.2422571292330771,0.3087767150203876,0.1471734646087824,0.3017926911377528
415,415.0,0.2415076163766528,0.3096029674823743,0.1466842490639735,0.3022051670769993
416,416.0,0.2406892434289895,0.3103809130357265,0.1462628371138503,0.3026670064214335
417,417.0,0.2397492649949508,0.3112663248681493,0.1458127236035693,0.3031716865333304
418,418.0,0.2388048786273976,0.3120973108710255,0.145345593804293,0.3037522166972838
419,419.0,0.2379533518938373,0.3127578669010239,0.1448982115284963,0.3043905696766424
420,420.0,0.2375053170212238,0.3130097159518061,0.1444361175200168,0.3050488495069533
421,421.0,0.2371669545443875,0.313167122248427,0.1439744336053787,0.3056914896018067
422,422.0,0.236703701385236,0.3134520752629451,0.143588788737154,0.3062554346146649
423,423.0,0.2363940519117893,0.3134731506701127,0.1433708308694923,0.3067619665486057
424,424.0,0.2359905916794108,0.3136974108104335,0.1433026134368718,0.3070093840732839
425,425.0,0.235668921535171,0.313944053286043,0.1433441795719514,0.3070428456068346
426,426.0,0.2354628847681495,0.3141247938887936,0.1434671383957668,0.30694518294729
427,427.0,0.2353574858469499,0.3142376755402958,0.1436089777791062,0.3067958608336482
