,test,count,mean,std,min,lq,med,uq,max,outliers,parameter,value,HV_overall
0,HV,10,0.751602533,0.041675706,0.672914689,0.731289771,0.755419265,0.77780314,0.810222217,,B_Mutations_AMALGAM,5,0.830234151
0,HV,10,0.774643648,0.039928383,0.705153558,0.754899464,0.780498256,0.801847536,0.835848641,,B_Mutations_AMALGAM,6,0.839946979
0,HV,10,0.757463868,0.064774471,0.620403587,0.723593074,0.780952381,0.795029454,0.822576498,,B_Mutations_AMALGAM,7,0.840838409
0,HV,10,0.795769109,0.021026268,0.756922202,0.783496322,0.79655682,0.808314612,0.828713993,,B_Mutations_AMALGAM,8,0.842520354
0,HV,9,0.745729174,0.0428304,0.679563175,0.709875816,0.741787106,0.771441386,0.80459331,0.519167357,B_Mutations_AMALGAM_every_n,5,0.818189027
0,HV,9,0.786743876,0.028297789,0.746486939,0.759916063,0.787680158,0.80781143,0.825628026,0.671891106,B_Mutations_AMALGAM_every_n,6,0.837729215
0,HV,9,0.778976141,0.031592281,0.729685917,0.746564629,0.791022422,0.80519,0.814914041,0.617477003,B_Mutations_AMALGAM_every_n,7,0.834744164
0,HV,10,0.801005723,0.017721148,0.779473872,0.782276912,0.807705307,0.813335216,0.827362031,,B_Mutations_AMALGAM_every_n,8,0.843683298
0,HV,8,0.805310739,0.007662355,0.794104385,0.800938485,0.807447409,0.809741061,0.81461049,"0.7213715054603121, 0.751707373724025",B_Mutations_Counts_normal,5,0.836977947
0,HV,7,0.796920326,0.009992115,0.78568345,0.79064919,0.795128769,0.800730044,0.814871592,"0.7505756654692826, 0.8338679513517627, 0.674256240213687",B_Mutations_Counts_normal,6,0.84115077
0,HV,10,0.809203519,0.016057941,0.785471205,0.796732022,0.810217812,0.817359468,0.838153706,,B_Mutations_Counts_normal,7,0.844286395
0,HV,9,0.814023945,0.010135209,0.793337098,0.809173805,0.813201661,0.821121216,0.828572229,0.787497547,B_Mutations_Counts_normal,8,0.847627057
