,f_1,f_2,Routes
0,25.065764023210832,105,7-14-8*3-5-14-6*2-1-3-11*2-5*0-1-3-11-10-12-9-13*4-1-2-5-14*
1,12.969696969696969,92,8-14*5-14-6*1-2-5-7-9-10-11*4-3-5-14-6*2-5*0-1-2-5-7-9-13-12*
2,12.840103159252095,111,4-3-5-7-9-10-12*0-1-2-5-7-9-10*10-12-13*6-14-5-3-11*2-5-7-14-8*0-1-4*
3,12.635074145712444,114,9-12*2-1-4*6-9-13*2-5-7-9-10-11*4-3-5-7-14-8*0-1-2-5-7-9-13-12*
4,16.53062540296583,110,2-5-14-6*0-1-2*12-13-9-6-14*4-3-5-14-8*7-5-3-11-10*4-3-5-7-9-12*
5,14.963249516441007,117,3-5-7-9*5-7-9-13-12-10*6-14-8*4-3-5-7-9-12*11-3-5-14*0-1-2-5-7-9*
6,13.729206963249517,113,7-9-10*8-14-6-9-13*4-1-3-11*0-1-2-5-7-9-10-12*2-5-7*7-9-13-12*
7,12.896840747904578,114,4-3-5-7*0-1-2-5-14-6*7-9-13-12*11-3-5-7-9-10-12*5-14-8*2-5-7-9-10-12*
8,13.71631205673759,108,6-9-10-12*0-1-2-5-14-8*4-3-11*3-5-7-9-13-12*4-3-5-14*4-3-5-7-9*
9,12.087040618955513,105,0-1-2-5-7-9*11-10-9-6-14*3-5-14-6*5-14-8*4-3-5-14-8*12-13-9-6-14*
