,f_1,f_2,Routes
0,13.188910380399742,108,4-3-5-14-8*3-5-7-9-10*7-5-3-11*0-1-2-5-7-9-13-12*5-14-6*7-5-3-11*
1,12.413926499032883,150,5-7-9-10-12*8-14-6-9-13*7-9*0-1-2-5-7-9-13*0-1-2-5-7-9-10-12*4-3-5-7-9-10-11*
2,15.568665377176016,155,10-11-3-5-7-9-13-12*0-1-2-5-7-9-13-12*5-7-9-6*0-1-2-5-7-9-13*9-12*4-3-5-7-14-8*
3,13.340425531914894,115,1-2-5-7-9-10*0-1-4*0-1-2-5-7-9*3-5-7-9-13-12*3-5-14-8*11-3-5-14-6*
4,13.93230174081238,123,0-1-3-5-7-9-12*2-1-4-3-5-14-6*6-9-13-12*10-12-9-6-14-8*7-14*7-5-3-11*
5,13.651192778852353,100,7-14-8*6-9-10-11*0-1*0-1-3-4*1-2-5-7-9-13-12*5-7-9-12*
6,16.079303675048354,94,3-5-7-9-13*0-1-4*6-14-8*6-9-10*1-3-11*2-5-7-9-12*
7,14.647969052224372,81,2-5*11-3-5-14-6*13-12-10-9-6-14*0-1-2-5-7*7-14-8*4-3-5-14-6*
8,13.096711798839458,128,0-1-2-5-7-9-13*8-14-6-9*4-3-5-7-9-12-10*2-5-7-9-12*2-1-3*6-14-5-3-11*
9,14.177949709864604,120,0-1-4-3-5-7-9-10*11-3-5-14*7-9-13*6-9-10-12*12-9-6-14*2-5-14-8*
