,f_1,f_2,R_x
0,17.919803600654664,285.0,7-10-16-28-25-11-14-24-4-20*11-17-22-0-25-7-20-14*1-3-23-14-7-27-2*1-3-9-23-14-11-17-22*12-17-22-18-0-26*2-21-10-29*12-19-22-18-13-6-5-21*15-16-27-2-21*2-29-27-16-28-17-19-8*9-23-14-7-16-6-21*2-29-27-7-20-24-4*8-26-0-28-17-22-19*
1,22.203296703296704,232.0,12-19-17-22-18-0-25*13-6-16-28-0-22-17-19*4-24-20-14-7-16-27*16-2-10-15-27*5-15-21*1-9-23-14-20-7-16*4-14-11-25-28-16-27-7*8-19-17-22-0-18*2-15-10-29*3-23-14-20-7-28-17*3-23-14-11-17-18-0-26*22-18-0-25-7-20-24*
2,19.29766775777414,245.0,20-24-14-3-23*10-2-27-16-7-14*3-1-23-20-7-16-6-5*22-18-0-25-7-4-24*12-18-0-28-25-11-17*0-25-28-16-10-15-21*17-22-0-18-19-8-26*12-19-22-0-13-6-5-21*9-3-1-4-23*15-16-27-10-2-29*25-0-18-22-17-28*3-1-9-23-14-11-17-22*
3,21.34831657703998,234.0,12-18-0-25-22*6-16-7-28-0-18-22*14-20-7-27-16-28-25*6-16-27-7-20-4-24*7-28-0-18-22-17-11*6-5-21-10-29-2-16*21-5-6-13-18-0-17-22*22-25-28-0-12-8-26*3-1-23-14-24-20*10-27-16-15*0-12-19-17-22*3-1-9-23-20-7-16*
4,18.07201309328969,269.0,4-7-28-25-22-19-12*11-17-28-7-20-23*10-27-16-7-28-0-18*3-9-23-14-20-7-16*11-17-22-18-0-13-6-21*1-3-24-20-7-16-6-5*5-21-10-2-27-16*5-21-15-10-27-7-20*4-24-14-11-17-22-12-8*10-2-29-27-7-24*12-17-19-18-22-0-26*21-10-15-27-16-28-25*
5,20.454348842646716,239.0,9-3-1-23-20-7-25*11-25-28-7-27-10-15*6-13-18-17-28-25*0-18-22-17-11-3-9-1*12-19-22-25-28-16-27*2-29-27-16-28-17-19-8*11-17-22-0-18-12-8-26*9-1-3-24-23*4-14-24-20-7-16-27*21-10-2-27-16-28*5-21*5-6-13-18-0-22-25*
6,18.01575286415712,282.0,2-29-27-7-4-24-20*15-27-16-28-17-22-0-26*9-23-20-7-27-15-21*12-19-22-0-25-11-17*9-1-23-14-20-7-25*17-22-0-28-16-10-21*5-6-21-2-15*3-1-24-4-7-10-21*16-7-28-0-18-22-17*8-12-19-17-28-7-20-24*19-12-0-18-13-6-5-21*0-22-17-11-14-23-1-9*
7,20.458440495674537,238.0,4-20-7-28-0-18-22*7-27-2-10-15-21*24-4-7-27-16-28-25*9-3-1-23-20-14-11*8-12-19-0-13-6-5-21*0-18-22-17-28-16-10*2-29-27-7-24-14-23*0-18-22-17-19-8-26*9-3-1-23-4-24*18-22-17-0-19*5-15-2-21*1-3-11-25-0-18-17*
8,19.183627542670095,254.0,18-0-17-11-3-1-23*2-27-7-28-25-0-18*4-20-24-23-3-14*10-15-2-27-7-20*12-0-22-17-19*7-14-11-25-28-16*9-23-14-11-17-22-0-18*8-26-0-19-17-12*17-22-25-28-16-27-2-29*6-15-2-27-7-20*5-21-6-13-18-0-22-17*3-1-23-20-7-16-6-5*
9,18.779635258358663,261.0,24-4-7-25-22-18-0-26*8-19-22-25-11-17*4-20-7-25-0-18-13*19-12-17-28-25-7-20*9-1-23-14-7-27-10*5-21-6-13-0-18-22-17*16-27-29-2-15-21*3-9-23-14-11-17-22-18*3-1-24-20-7-27-15*0-25-22-19-17-12*1-3-23-24-4-20*6-16-28-25-0-22-19*
