,f_1,f_2,R_x
0,10.578981302385557,206.0,5-3-11-10-9-6-14-7*4-1-2-5-7-9-10-12*0-1-2-5-7-14-6-9*12-13-9-10-11-3-5-14*4-3-5-7-9-6-14-8*1-3-5-7-9-13-12-10*
1,18.29658284977434,87.0,2-1-3-5-7*9-6-14-5-3-11-10-12*2-5-7-14-8*3-4*0-1*9-13*
2,13.97872340425532,93.0,9-7-5-2-1-3-11*9-12-13*5-14-6-9-13-12-10*7-14-8*1-4*0-1-2*
3,12.516441005802708,98.0,5-7-9-10-12-13*7-5-14-8*2-5-7-14-8*1-2-5-3-4*0-1*5-14-6-9-10-11*
4,10.640232108317214,196.0,4-3-1-2-5-7-9-13*1-2-5-7-14-6-9-10*10-11-3-5-14-7-9-13*8-14-5-7-9-10-12-13*0-1-2-5-7-14-6-9*1-4-3-5-7-9-10-11*
5,10.669890393294649,176.0,0-1-2-5-7-9-10-11*8-14-6-9-10-12*5-3-11-10-12-13-9-7*0-1-4-3-5-7-14-6*1-2-5-7-14*1-3-5-7-9-10-12*
6,11.97678916827853,101.0,0-1-2-5*2-1-3-5-14-6-9*11-3-5-7-9-10-12-13*1-4-3*5-7-14-8*3-1-4*
7,10.945841392649903,145.0,0-1-3-5-7-14*0-1-2-5-7-9-13-12*9-6-14-5-3-11-10-12*7-14-8*4-3-1-2-5-7-9-10*2-5-7-14-8*
8,11.109606705351386,132.0,4-3-1-2-5-7-14-8*0-1-2-5-7-9-10-12*1-2-5-3-11-10-9*1-2-5-7-14-6-9-10*9-13*1-4-3*
9,11.95357833655706,113.0,2-5-7-9-6-14-8*10-9-12*3-5-14-6-9-10-11*3-1-4*12-13*0-1-2-5-7-14-6-9*
