,f_1,f_2,R_x
41,10.321727917472597,156,12-13-9-7-5-2-1-0*10-9-7-5-3-4-1-2*11-10-9-6-14-8*0-1-3-11-10-12-13*0-1-2-5-14-6*6-14-7*
40,10.331399097356543,154,12-13-9-7-5-2-1-0*10-9-7-5-3-4-1-2*11-10-9-6-14-8*0-1-3-11-10-12*0-1-2-5-14-6*6-14-7*
42,10.363636363636363,152,12-13-9-7-5-2-1-0*10-9-7-5-3-4-1-2*11-10-9-6-14-8*0-1-3-11-10-12*0-1-2-5-14-6*14-7*
36,10.37137330754352,150,12-13-9-7-5-2-1-0*10-9-7-5-3-4-1-2*11-10-9-6-14-8*2-1-3-11-10-12-13*0-1-2-5-14-6*6-14-7*
37,10.381044487427467,148,12-13-9-7-5-2-1-0*10-9-7-5-3-4-1-2*11-10-9-6-14-8*2-1-3-11-10-12*0-1-2-5-14-6*6-14-7*
38,10.393939393939394,146,12-13-9-7-5-2-1-0*10-9-7-5-3-4-1-2*11-10-9-6-14-8*1-3-11-10-12*0-1-2-5-14-6*6-14-7*
39,10.426176660219213,144,12-13-9-7-5-2-1-0*10-9-7-5-3-4-1-2*11-10-9-6-14-8*1-3-11-10-12*0-1-2-5-14-6*14-7*
35,10.434558349451967,138,12-13-9-7-5-2-1-0*10-9-7-5-3-4-1-2*10-12-13*1-3-11-10-9-6-14-8*0-1-2-5-14-6*6-14-7*
34,10.444229529335912,136,12-13-9-7-5-2-1-0*10-9-7-5-3-4-1-2*10-12*1-3-11-10-9-6-14-8*0-1-2-5-14-6*6-14-7*
21,10.476466795615732,134,12-13-9-7-5-2-1-0*10-9-7-5-3-4-1-2*10-12*1-3-11-10-9-6-14-8*0-1-2-5-14-6*14-7*
32,10.511927788523533,128,12-13-9-7-5-2-1-0*10-9-7-5-3-4-1-2*10-12*1-3-11-10-9-6-14-8*1-2-5-14-6*6-14-7*
31,10.54416505480335,126,12-13-9-7-5-2-1-0*10-9-7-5-3-4-1-2*10-12*1-3-11-10-9-6-14-8*1-2-5-14-6*14-7*
23,10.582849774339136,124,12-13-9-7-5-2-1-0*10-9-7-5-3-4-1*10-12*1-3-11-10-9-6-14-8*1-2-5-14-6*14-7*
33,10.591231463571887,123,12-13-9-7-5-2-1-0*9-7-5-3-4-1-2*10-12*1-3-11-10-9-6-14-8*1-2-5-14-6*6-14-7*
30,10.623468729851707,121,12-13-9-7-5-2-1-0*9-7-5-3-4-1-2*10-12*1-3-11-10-9-6-14-8*1-2-5-14-6*14-7*
29,10.651192778852351,120,12-13-9-7-5-2-1-0*10-9-7-5-3-4*10-12*1-3-11-10-9-6-14-8*1-2-5-14-6*6-14-7*
28,10.662153449387493,119,12-13-9-7-5-2-1-0*9-7-5-3-4-1*10-12*1-3-11-10-9-6-14-8*1-2-5-14-6*14-7*
22,10.683430045132171,118,12-13-9-7-5-2-1-0*10-9-7-5-3-4*10-12*1-3-11-10-9-6-14-8*1-2-5-14-6*14-7*
24,10.720180528691165,116,11-10-9-7-5-3-4*12-10*10-9-6-14-5-2-1-0*2-1-4*8-14-7-5-2-1-3-11*12-13-9*
22,10.772404900064476,111,11-10-9-7-5-3-4*12-10*9-6-14-5-2-1-0*2-1-4*8-14-7-5-2-1-3-11*12-13-9*
