Total_iterations,Unnamed: 0.1,Add_vertex,Delete_vertex
0,0.0,0.5,0.5
1,1.0,0.5,0.5
2,2.0,0.5,0.5
3,3.0,0.5,0.5
4,4.0,0.5,0.5
5,5.0,0.5,0.5
6,6.0,0.5,0.5
7,7.0,0.5,0.5
8,8.0,0.5,0.5
9,9.0,0.5,0.5
10,10.0,0.5,0.5
11,11.0,0.5,0.5
12,12.0,0.5,0.5
13,13.0,0.5,0.5
14,14.0,0.5,0.5
15,15.0,0.5,0.5
16,16.0,0.5,0.5
17,17.0,0.5,0.5
18,18.0,0.5,0.5
19,19.0,0.5,0.5
20,20.0,0.5,0.5
21,21.0,0.5,0.5
22,22.0,0.5,0.5
23,23.0,0.5,0.5
24,24.0,0.5,0.5
25,25.0,0.5,0.5
26,26.0,0.5,0.5
27,27.0,0.5,0.5
28,28.0,0.5,0.5
29,29.0,0.5,0.5
30,30.0,0.5,0.5
31,31.0,0.5,0.5
32,32.0,0.5,0.5
33,33.0,0.5,0.5
34,34.0,0.5,0.5
35,35.0,0.5,0.5
36,36.0,0.5,0.5
37,37.0,0.5,0.5
38,38.0,0.5,0.5
39,39.0,0.5,0.5
40,40.0,0.5,0.5
41,41.0,0.5,0.5
42,42.0,0.5,0.5
43,43.0,0.5,0.5
44,44.0,0.5,0.5
45,45.0,0.5,0.5
46,46.0,0.5,0.5
47,47.0,0.5,0.5
48,48.0,0.5,0.5
49,49.0,0.5,0.5
50,50.0,0.5,0.5
51,51.0,0.5,0.5
52,52.0,0.5,0.5
53,53.0,0.5,0.5
54,54.0,0.5,0.5
55,55.0,0.5,0.5
56,56.0,0.5,0.5
57,57.0,0.5,0.5
58,58.0,0.5,0.5
59,59.0,0.5,0.5
60,60.0,0.5,0.5
61,61.0,0.5,0.5
62,62.0,0.5,0.5
63,63.0,0.5,0.5
64,64.0,0.5,0.5
65,65.0,0.5,0.5
66,66.0,0.5,0.5
67,67.0,0.5,0.5
68,68.0,0.5,0.5
69,69.0,0.5,0.5
70,70.0,0.5,0.5
71,71.0,0.5,0.5
72,72.0,0.5,0.5
73,73.0,0.5,0.5
74,74.0,0.5,0.5
75,75.0,0.5,0.5
76,76.0,0.5,0.5
77,77.0,0.5,0.5
78,78.0,0.5,0.5
79,79.0,0.5,0.5
80,80.0,0.5,0.5
81,81.0,0.5,0.5
82,82.0,0.5,0.5
83,83.0,0.5,0.5
84,84.0,0.5,0.5
85,85.0,0.5,0.5
86,86.0,0.5,0.5
87,87.0,0.5,0.5
88,88.0,0.5,0.5
89,89.0,0.5,0.5
90,90.0,0.5,0.5
91,91.0,0.5,0.5
92,92.0,0.5,0.5
93,93.0,0.5,0.5
94,94.0,0.5,0.5
95,95.0,0.5,0.5
96,96.0,0.5,0.5
97,97.0,0.5,0.5
98,98.0,0.5,0.5
99,99.0,0.5,0.5
